com.samsung.shealth.rewards,6261011,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
5000,,1001,,ac979788-2fa1-1eb5-e827-057754954f29,2016-03-12 19:37:30.281,2016-03-12 19:37:30.281,,,5000,UTC-0500,1800000,OBFuvbOf82,com.sec.android.app.shealth,sport.tracker.goal.achievement.duration,2016-03-12 19:37:27.107,9bc968cd-768d-4ed9-b3ae-e35325a57854,0,
,2016-01-19 23:09:03.918,,,,2016-01-22 00:34:47.133,2016-01-19 23:09:04.000,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":60,""mValue2"":60}",OBFuvbOf82,com.sec.android.app.shealth,goal.activity,2016-01-19 23:09:03.918,3d6bf46a-09e5-4e2d-8371-01bec2b4274c,0,
,2016-02-17 04:15:01.583,,,,2016-02-19 03:15:01.146,2016-02-17 04:15:01.641,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":true,""mValue"":74,""mValue2"":60}",OBFuvbOf82,com.sec.android.app.shealth,goal.activity,2016-02-17 04:15:01.583,2f67e05a-bce7-4a81-935d-07beea38d940,0,
,2016-09-02 23:58:58.348,,,,2016-09-04 00:34:46.515,2016-09-02 23:58:59.217,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":141,""mValue2"":60}",J9OOjwOhpg,com.sec.android.app.shealth,goal.activity,2016-09-02 23:58:58.348,d66ef800-4e99-4414-95a8-54ed36ac0962,0,
,2015-12-26 23:25:01.534,,,,2015-12-29 20:15:03.140,2015-12-26 23:25:01.570,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":60,""mValue2"":60}",OBFuvbOf82,com.sec.android.app.shealth,goal.activity,2015-12-26 23:25:01.534,20efb932-7802-4908-9978-da62832ecbb7,0,
,2016-02-20 03:05:18.013,,,,2016-02-23 20:10:12.973,2016-02-20 03:05:18.052,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":true,""mValue"":72,""mValue2"":60}",OBFuvbOf82,com.sec.android.app.shealth,goal.activity,2016-02-20 03:05:18.013,2ec1c030-e9c8-4962-abbe-28b56cf1ff55,0,
,2016-09-06 19:48:47.155,,,,2016-09-07 22:31:46.792,2016-09-06 19:48:47.270,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":111,""mValue2"":60}",J9OOjwOhpg,com.sec.android.app.shealth,goal.activity,2016-09-06 19:48:47.155,eb91062e-58b7-4777-9d64-9a3a486eef2a,0,
,2015-08-03 02:05:11.580,,,,2015-08-03 19:58:39.923,2015-08-03 02:05:11.685,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":79,""mValue2"":60}",ScgltublDV,com.sec.android.app.shealth,goal.activity,2015-08-03 02:05:11.580,ee2fb90f-f285-4c8f-a24b-05aa00e3bff2,0,
,2016-07-30 19:59:01.267,,,,2016-08-02 19:19:41.055,2016-07-30 19:59:01.343,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":130,""mValue2"":60}",OBFuvbOf82,com.sec.android.app.shealth,goal.activity,2016-07-30 19:59:01.267,c9214c98-f89a-4b08-bbb8-729452ba2105,0,
,2016-10-27 03:59:59.999,,,,2016-10-29 23:52:45.482,2016-10-27 20:32:09.449,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":60,""mValue2"":60}",Sg8DVB0xC3,com.sec.android.app.shealth,goal.activity,2016-10-27 03:59:59.999,95dcf476-0dbb-4339-83fc-bda9ee849021,0,
