com.samsung.shealth.stand_day_summary,6261011,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,524288,,2020-01-30 00:23:43.290,2020-01-29 05:00:02.802,PEzvKidhug,com.sec.android.app.shealth,a45cc760-4977-b7d3-ee60-a1d00c3ec2b7,1580256000000,
,0,,2019-12-15 05:00:05.661,2019-12-15 05:00:05.661,PEzvKidhug,com.sec.android.app.shealth,95725a9b-f1f9-2fa9-8000-5f029aef8679,1576368000000,
,0,,2020-05-07 04:00:05.630,2020-05-07 04:00:05.630,PEzvKidhug,com.sec.android.app.shealth,4a656b17-400f-4e5c-506e-43662439034f,1588809600000,
,1310720,,2019-08-16 00:14:51.841,2019-08-15 04:00:05.248,PEzvKidhug,com.sec.android.app.shealth,435e19ba-b23b-6936-bdfb-51b2df6bbeb5,1565827200000,
,0,,2020-08-09 04:00:05.230,2020-08-09 04:00:05.229,PEzvKidhug,com.sec.android.app.shealth,5e539df5-b9fa-e360-17ac-e9c0e969472b,1596931200000,
,0,,2021-07-04 04:00:04.817,2021-07-04 04:00:04.817,C2yRtg360R,com.sec.android.app.shealth,f5482433-042c-c6dc-4197-fcfd15281e2e,1625356800000,
,0,,2020-04-22 04:00:05.673,2020-04-22 04:00:05.673,PEzvKidhug,com.sec.android.app.shealth,625d417c-616e-d3b6-bc5f-c2aa89bbe83b,1587513600000,
,0,,2020-06-06 04:00:02.393,2020-06-06 04:00:02.393,PEzvKidhug,com.sec.android.app.shealth,40ab92bf-29d4-6f1e-52f4-67d94ab4b3ad,1591401600000,
,0,,2021-07-25 04:00:04.678,2021-07-25 04:00:04.678,C2yRtg360R,com.sec.android.app.shealth,c3cf92ac-b96c-809d-4c8b-820d96c668e6,1627171200000,
,0,,2020-07-15 04:00:07.608,2020-07-15 04:00:07.608,PEzvKidhug,com.sec.android.app.shealth,f3a2f8f4-2269-060e-59ab-6bf876d7c859,1594771200000,
,0,,2020-09-07 04:00:03.458,2020-09-07 04:00:03.458,PEzvKidhug,com.sec.android.app.shealth,6de2d561-c349-12c2-97ab-9b9b776a6127,1599436800000,
,0,,2020-04-09 19:06:03.291,2020-04-09 04:15:02.372,PEzvKidhug,com.sec.android.app.shealth,eaad5d54-6e0c-8849-897a-d0dd83ba5595,1586390400000,
,4227072,,2021-07-13 02:06:36.326,2021-07-12 04:00:04.624,C2yRtg360R,com.sec.android.app.shealth,ac72a01f-64db-9853-be40-fa457ab3ddfc,1626048000000,
,0,,2020-04-17 04:00:04.656,2020-04-17 04:00:04.656,PEzvKidhug,com.sec.android.app.shealth,85be6d98-6fef-41c0-258a-e4934682fe62,1587081600000,
,0,,2020-03-02 05:00:04.620,2020-03-02 05:00:04.620,PEzvKidhug,com.sec.android.app.shealth,8bcf23e7-1b38-c939-0b4c-bb9d123a2b59,1583107200000,
,2621440,,2020-01-16 02:04:53.304,2020-01-15 05:00:04.886,PEzvKidhug,com.sec.android.app.shealth,f534e0fb-a2e9-0d3c-c27a-08737c404a4d,1579046400000,
,0,,2020-05-10 04:00:03.606,2020-05-10 04:00:03.606,PEzvKidhug,com.sec.android.app.shealth,8e8271ea-de94-e717-81ca-5e4d7e9ff2f8,1589068800000,
,0,,2020-03-22 07:20:24.526,2020-03-22 07:20:24.526,PEzvKidhug,com.sec.android.app.shealth,e2500aa0-320c-eaea-b215-292619a1c45c,1584835200000,
,0,,2020-11-09 05:00:06.321,2020-11-09 05:00:06.321,PEzvKidhug,com.sec.android.app.shealth,c84ab125-9816-173f-c9a6-660ce28aef43,1604880000000,
,524288,,2020-10-28 23:57:12.339,2020-10-28 04:00:03.442,PEzvKidhug,com.sec.android.app.shealth,57066a00-faf8-439d-d3a5-8b4b098b4089,1603843200000,
,0,,2020-01-10 05:00:11.230,2020-01-10 05:00:11.229,PEzvKidhug,com.sec.android.app.shealth,9d814053-abef-2c3c-803f-efe56535249b,1578614400000,
,8192,,2020-01-08 18:43:24.352,2020-01-08 05:00:05.168,PEzvKidhug,com.sec.android.app.shealth,27123a3c-5376-12b9-8cd4-6bfb6dc03b2e,1578441600000,
,65536,,2020-04-25 20:25:15.266,2020-04-25 04:00:05.451,PEzvKidhug,com.sec.android.app.shealth,046cbb64-3fac-a0b8-fe6e-b54dff44e6a5,1587772800000,
,1024,,2020-07-02 14:38:00.306,2020-07-02 04:00:04.525,PEzvKidhug,com.sec.android.app.shealth,61afb4b5-095c-6067-a270-2dec25013677,1593648000000,
,0,,2021-03-12 05:00:03.298,2021-03-12 05:00:03.298,PEzvKidhug,com.sec.android.app.shealth,6910ad4f-6c27-c558-5de3-27b37740ef02,1615507200000,
,16384,,2020-12-01 19:49:22.314,2020-12-01 05:00:06.630,PEzvKidhug,com.sec.android.app.shealth,6a104319-e1c3-2004-f777-4b8ca15752ec,1606780800000,
,524288,,2021-09-16 23:48:10.361,2021-09-16 04:00:06.334,C2yRtg360R,com.sec.android.app.shealth,a47166a7-2ef8-3d3f-0b32-1f0eed3835e0,1631750400000,
,5259264,,2021-07-14 02:14:12.362,2021-07-13 04:00:06.836,C2yRtg360R,com.sec.android.app.shealth,20c588ba-3b09-d5e8-fc9c-113f08be4daa,1626134400000,
