com.samsung.shealth.calories_burned.details,6261011,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,1e1e229d-f43c-48b5-ae03-c30e2abda70d.extra_data.json,,,,0.0,390831,1907.5514,,2018-01-22 19:21:38.059,2017-12-25 05:00:00.666,30.220005,EHdtKydEi4,com.sec.android.app.shealth,1e1e229d-f43c-48b5-ae03-c30e2abda70d,1514160000000,
,,3e74b048-edc5-448a-9375-77f9d44489f0.extra_data.json,,,,260.7,526203,1837.4716,,2019-01-12 01:09:34.140,2018-12-15 05:00:01.704,39.369995,Mz5pMh3q+T,com.sec.android.app.shealth,3e74b048-edc5-448a-9375-77f9d44489f0,1544832000000,
,,ed9e2993-c2be-4b70-823d-45080070de67.extra_data.json,,,,173.8,2143617,1802.8632,,2019-01-15 01:53:22.487,2018-12-18 05:00:00.581,153.13,Mz5pMh3q+T,com.sec.android.app.shealth,ed9e2993-c2be-4b70-823d-45080070de67,1545091200000,
,,0e758a3c-382e-46c8-95b9-9a353a1ad5d1.extra_data.json,,,,0.0,2695149,1861.9451,,2017-11-26 16:33:10.841,2017-11-20 06:55:54.918,189.66751,EHdtKydEi4,com.sec.android.app.shealth,0e758a3c-382e-46c8-95b9-9a353a1ad5d1,1509235200000,
,,cfd4bb74-33eb-4c1c-a7f2-7e0cfd844a84.extra_data.json,,,,260.7,861420,1830.2986,,2019-01-13 19:12:47.524,2018-12-17 05:00:02.118,66.52,Mz5pMh3q+T,com.sec.android.app.shealth,cfd4bb74-33eb-4c1c-a7f2-7e0cfd844a84,1545004800000,
,,28922d1a-fe8b-4657-9950-a35fbf5fa816.extra_data.json,,,,0.0,1104522,1830.7014,,2018-12-18 18:48:53.141,2018-11-22 05:20:18.066,78.22998,Mz5pMh3q+T,com.sec.android.app.shealth,28922d1a-fe8b-4657-9950-a35fbf5fa816,1542844800000,
,,20186898-4dec-4b8a-8b23-f99712c1ddb9.extra_data.json,,,,0.0,1614890,1880.4038,,2018-01-22 02:23:13.494,2017-12-24 05:04:17.518,117.42,EHdtKydEi4,com.sec.android.app.shealth,20186898-4dec-4b8a-8b23-f99712c1ddb9,1514073600000,
,,538ad91f-c28a-4243-b739-1e14f0cab70e.extra_data.json,,,,173.2,105386,1846.4758,,2019-03-06 18:52:39.061,2019-02-14 05:00:01.952,7.5900006,4V/TlqPcbG,com.sec.android.app.shealth,538ad91f-c28a-4243-b739-1e14f0cab70e,1550102400000,
,,f9e265e5-a07b-4730-a82c-0385bb5b1988.extra_data.json,,,,260.7,1182724,1829.023,,2018-10-06 00:09:35.677,2018-09-09 04:00:00.460,82.800026,Mz5pMh3q+T,com.sec.android.app.shealth,f9e265e5-a07b-4730-a82c-0385bb5b1988,1536451200000,
,,e2be3569-9e2b-4aa9-b2f2-5154b874b56e.extra_data.json,,,,260.7,212106,1849.8552,,2018-08-04 00:53:04.018,2018-07-07 04:00:00.806,15.660001,9wVta8KBzt,com.sec.android.app.shealth,e2be3569-9e2b-4aa9-b2f2-5154b874b56e,1530921600000,
