com.samsung.shealth.exercise.weather,6261011,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
2.0,,2016-03-11 20:42:10.212,35.964283,,NNW,Mostly cloudy,,1,AccuWeather,2016-03-11 20:54:41.756,2016-03-11 20:54:41.756,0,-83.90395,23.3,61,UTC+0000,ROm+XQMkto,cc115155-4da7-e65b-c361-c0b02e7ae7de,com.sec.android.app.shealth,km/h,,7.0,3,d4a049f1-0c7c-cf18-211d-d2f9398a75a7,
2.0,,2021-04-05 22:15:57.930,35.939194,,,Sunny,,1,TWC,2021-04-05 22:29:50.620,2021-04-05 22:29:50.150,0,-83.958115,25.0,22,UTC-0400,C2yRtg360R,8a4ea1e0-2dfd-8111-50e4-9d7dfc309665,com.sec.android.app.shealth,,,,1,80e734cb-34e3-4af1-5cd7-81cef96fb41b,
10.0,,2018-08-03 18:09:50.641,35.96543,,,Partly Cloudy,,1,TWC,2018-08-03 18:23:20.497,2018-08-03 18:23:20.497,0,-83.919655,27.0,66,UTC+0000,PEzvKidhug,c26d88a6-e8ae-518f-146a-8999ca349f4c,com.sec.android.app.shealth,,,,2,5d9692cf-d393-b801-2e9f-2e526ba3f761,
8.0,,2016-07-16 14:19:05.165,31.422,,S,Sunny,,1,AccuWeather,2016-07-16 15:51:06.830,2016-07-16 15:51:06.830,0,-81.26881,30.0,78,UTC+0000,ROm+XQMkto,f1fec9b0-1d58-7ad5-17ac-de26634d6192,com.sec.android.app.shealth,km/h,,7.0,1,8798fc19-3682-5a77-9151-c68d8f029123,
,0,2020-06-23 20:53:16.244,35.93266,,SSW. 210,Partly Cloudy,0,1,TWC,2020-06-23 20:53:16.245,2020-06-23 20:53:16.245,1,-83.96238,29.0,62,UTC-0400,cfxbbbfj2r,1a262e65-4850-4045-9a69-1d6a441a971e,com.sec.android.app.shealth,km/h,0,11.0,2,e0ae7602-3340-4607-879b-ec52932b7be7,
2.0,,2018-06-24 21:48:19.100,35.956276,,,Cloudy,,1,TWC,2018-06-24 22:21:36.287,2018-06-24 22:21:36.287,0,-83.93848,26.0,77,UTC+0000,PEzvKidhug,6f249dc6-3526-095f-4654-95869a1445bb,com.sec.android.app.shealth,,,,3,1947f818-9046-4b87-9928-fcf1ff296198,
9.0,,2018-07-04 16:28:06.008,36.074127,,,Partly Cloudy,,1,TWC,2018-07-04 16:43:10.267,2018-07-04 16:43:10.267,0,-79.78893,31.0,50,UTC+0000,PEzvKidhug,99a7dc0e-9bbc-6eb8-0899-6929b3ee0ddf,com.sec.android.app.shealth,,,,2,4990f353-63d1-4755-bc55-02dff768fb73,
0.0,,2016-06-24 23:55:37.403,35.956097,,SW,Partly sunny,,1,AccuWeather,2016-06-25 00:21:39.606,2016-06-25 00:21:39.606,0,-83.9214,30.0,58,UTC+0000,ROm+XQMkto,18fc47d7-8736-31eb-f898-6de4c4447390,com.sec.android.app.shealth,km/h,,7.0,2,d4b2e01e-eeb5-0213-11ea-d4f0963638c8,
3.0,,2017-04-28 20:53:02.856,35.960922,,W,Partly sunny,,1,AccuWeather,2017-04-28 21:26:09.053,2017-04-28 21:26:09.053,0,-83.88355,28.9,54,UTC+0000,PEzvKidhug,84b52987-c221-6eb3-5a8f-5bdf04806397,com.sec.android.app.shealth,km/h,,7.0,2,866eeeff-f82f-c465-aaeb-39d73d36058c,
0.0,,2016-03-05 22:48:19.167,35.96145,,W,Cloudy,,1,AccuWeather,2016-03-05 23:08:28.274,2016-03-05 23:08:28.274,0,-83.925354,12.2,44,UTC+0000,ROm+XQMkto,7d33b8d5-c4c0-03cc-ea70-9ae8aaf2f67b,com.sec.android.app.shealth,km/h,,7.0,3,b38d2f9f-6cbf-1d94-6221-3d43d3dee6ce,
0.0,,2018-02-24 01:54:12.286,35.965054,,,Partly Cloudy,,1,TWC,2018-02-24 02:08:08.273,2018-02-24 02:08:08.273,0,-83.917656,20.0,65,UTC+0000,PEzvKidhug,3eecafbf-f317-ab03-0ea2-221184e66d06,com.sec.android.app.shealth,,,,19,5b8cd408-bd5a-ca4d-a38d-873bb62a329c,
3.0,,2020-04-13 20:25:44.990,35.92943,,,Mostly Cloudy,,1,TWC,2020-04-13 21:20:02.329,2020-04-13 21:20:02.329,0,-83.97378,17.0,57,UTC-0400,PEzvKidhug,bbeec9b0-fc84-c878-8f35-e8e27206ed12,com.sec.android.app.shealth,,,,3,dd3baf69-0511-06ff-8da2-7a95c27180eb,
3.0,,2021-03-28 19:57:34.580,35.931904,,,Mostly Cloudy,,1,TWC,2021-03-28 20:20:36.300,2021-03-28 20:20:35.634,0,-83.963036,17.0,47,UTC-0400,C2yRtg360R,e1953657-2e13-3f47-7712-637bcfd16c65,com.sec.android.app.shealth,,,,2,7a55c519-289a-d9e2-d096-4a8f178c5b35,
6.0,,2020-09-21 18:45:30.603,35.934483,,,Sunny,,1,TWC,2020-09-21 19:22:26.334,2020-09-21 19:22:26.334,0,-83.96359,22.0,41,UTC-0400,PEzvKidhug,426dcd54-be98-03d2-27b8-cf0afd416ec3,com.sec.android.app.shealth,,,,1,9980b899-0921-20e0-fad1-d9094ee479ad,
