com.samsung.health.food_info,6261011,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
0.0,2.0,0.0,,10.0,MyFitnessPal Dinner,,100003-Tue Apr 10 00:00:00 EDT 2018,0,50.8,6.0,2.5,2018-04-11 16:48:56.774,2018-04-11 16:48:56.774,0.0,7.0,0.0,4.0,MyFitnessPal Dinner,6.0,,20.0,192.0,,,9wVta8KBzt,,2.0,0.0,com.myfitnesspal.android,17.0,,a643971f-a84f-4875-9827-cf981ad1989a,,
0.0,2.0,0.0,,0.0,MyFitnessPal Lunch,,100002-Sat Apr 21 00:00:00 EDT 2018,0,360.0,1.0,16.0,2018-04-24 01:45:00.076,2018-04-24 01:45:00.076,0.0,4.0,0.0,8.0,MyFitnessPal Lunch,17.0,,0.0,542.0,,,9wVta8KBzt,,7.0,0.0,com.myfitnesspal.android,37.0,,ab1db498-b205-49fc-ac8c-ad221915d344,,
62.0,10.0,0.0,,40.0,MyFitnessPal Dinner,,100003-Fri Jan 12 00:00:00 EST 2018,0,265.0,0.0,9.5,2018-01-14 19:52:00.865,2018-01-14 19:52:00.865,1.5,7.0,0.5,2.0,MyFitnessPal Dinner,0.0,,65.0,760.0,,,EHdtKydEi4,,4.0,0.0,com.myfitnesspal.android,1.0,,1b4a75fe-6e6c-4bb6-b355-417e89589bd1,,
320.0,32.0,0.0,,40.0,MyFitnessPal Snacks,,100005-Sun Apr 15 00:00:00 EDT 2018,0,500.0,12.0,6.0,2018-04-18 01:16:00.162,2018-04-18 01:16:00.162,0.0,24.0,0.0,0.0,MyFitnessPal Snacks,12.0,,60.0,240.0,,,9wVta8KBzt,,4.0,0.0,com.myfitnesspal.android,28.0,,98525906-1c69-4510-8df4-e6e071ad17a1,,
50.0,8.0,0.0,,40.0,MyFitnessPal Breakfast,,100001-Fri Feb 09 00:00:00 EST 2018,0,350.0,10.0,23.0,2018-02-11 20:21:06.301,2018-02-11 20:21:06.301,0.0,25.0,0.0,8.0,MyFitnessPal Breakfast,1.0,,24.0,620.0,,,EHdtKydEi4,,12.0,0.0,com.myfitnesspal.android,16.0,,2701f471-d70b-4d43-9336-6594b5423f01,,
640.3746,36.134308,27.0,,92.086365,MyFitnessPal Snacks,,100005-Mon Mar 12 00:00:00 EDT 2018,0,527.80725,12.59091,41.786728,2018-03-15 00:36:26.955,2018-03-15 00:36:26.955,12.068546,49.905502,3.7671456,34.193237,MyFitnessPal Snacks,10.8698,,97.701096,991.40186,,,EHdtKydEi4,,18.140528,0.0,com.myfitnesspal.android,32.96071,,819bc113-38c5-473f-b00f-6b31e1d0f8a5,,
230.0,10.0,0.0,,2.0,MyFitnessPal Lunch,,100002-Mon Mar 19 00:00:00 EDT 2018,0,300.0,14.0,15.5,2018-03-22 01:56:52.528,2018-03-22 01:56:52.528,0.5,6.0,0.0,12.0,MyFitnessPal Lunch,7.0,,57.0,225.0,,,EHdtKydEi4,,11.0,0.0,com.myfitnesspal.android,25.0,,d2047562-92c8-4efe-9daa-7252c2cd4de4,,
300.0,27.0,25.0,,25.0,MyFitnessPal Snacks,,100005-Mon Feb 05 00:00:00 EST 2018,0,265.0,10.0,12.0,2018-02-07 21:50:08.656,2018-02-07 21:50:08.656,0.0,32.0,0.0,31.0,MyFitnessPal Snacks,2.0,,52.0,270.0,,,EHdtKydEi4,,7.0,0.0,com.myfitnesspal.android,16.0,,4632d11f-7c4e-44ec-91bb-640973e28a95,,
0.0,8.0,6.0,,30.0,MyFitnessPal Dinner,,100003-Fri Mar 02 00:00:00 EST 2018,0,525.0,1.0,15.0,2018-03-05 01:08:22.781,2018-03-05 01:08:22.781,0.0,12.0,0.0,10.0,MyFitnessPal Dinner,0.0,,22.0,1646.0,,,EHdtKydEi4,,8.0,0.0,com.myfitnesspal.android,32.2,,79984b72-ad9e-44fa-8f38-8e497e713bc7,,
899.3746,33.134308,2.4,,57.086365,MyFitnessPal Breakfast,,100001-Mon Mar 12 00:00:00 EDT 2018,0,797.80725,19.39091,51.08673,2018-03-15 00:36:26.861,2018-03-15 00:36:26.861,10.068546,60.605503,4.467146,42.59324,MyFitnessPal Breakfast,5.2698,,59.301094,1008.40186,,,EHdtKydEi4,,15.740528,0.0,com.myfitnesspal.android,29.260712,,1040e174-dd2c-48fa-97af-aba49aeed7c9,,
0.0,6.0,4.0,,30.0,MyFitnessPal Dinner,,100003-Sun Jan 14 00:00:00 EST 2018,0,740.0,3.0,27.0,2018-01-16 16:57:53.540,2018-01-16 16:57:53.540,0.0,12.0,0.0,8.0,MyFitnessPal Dinner,1.0,,26.0,285.0,,,EHdtKydEi4,,8.0,0.0,com.myfitnesspal.android,11.0,,4bfab861-e6e2-4217-8127-2fd73da0ee27,,
