com.samsung.shealth.activity.day_summary,6261011,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,11308,,6955428,,0,,2016-06-26 14:49:27.545,,2016-06-25 04:00:11.468,,,,60,868760,191,,,,8937.813,,504.95602,8ab19761-5da5-46aa-b818-2c78d39e89b9.extra_data.json,OBFuvbOf82,194759,com.sec.android.app.shealth,6760669,32580000,8ab19761-5da5-46aa-b818-2c78d39e89b9,1466812800000,
,,,,4301,,2773851,,0,,2016-08-25 02:14:36.948,,2016-08-23 04:00:02.731,,,,60,180000,75,,,,3347.539,,195.31001,a5f7d338-9dfa-4b3f-b8a1-34f9b451d2e1.extra_data.json,J9OOjwOhpg,14898,com.sec.android.app.shealth,2758953,39000000,a5f7d338-9dfa-4b3f-b8a1-34f9b451d2e1,1471910400000,
null
null
null
,,,,1939,,1250798,,0,,2016-01-23 02:56:10.378,,2016-01-22 05:00:00.942,,,,60,120000,33,,,,1537.32,,84.079994,5f13af6e-3e64-4535-bd7a-35002c46adf4.extra_data.json,OBFuvbOf82,7600,com.sec.android.app.shealth,1243198,45060000,5f13af6e-3e64-4535-bd7a-35002c46adf4,1453420800000,
,,,,204,,133398,,0,,2016-02-11 02:35:01.429,,2016-02-10 05:00:02.284,,,,60,39486,3,,,,154.98999,,12.59,c1c6d2ba-80a8-4b2e-af5d-03fe042266ba.extra_data.json,OBFuvbOf82,4000,com.sec.android.app.shealth,129398,42180000,c1c6d2ba-80a8-4b2e-af5d-03fe042266ba,1455062400000,
,,,,11010,,6228586,,0,,2016-06-19 17:25:42.032,,2016-06-17 04:00:00.477,,,,60,2647699,171,,,,9376.163,,629.87476,c6c1e7a0-01f3-4a23-9003-4392aecf46c3.extra_data.json,OBFuvbOf82,1395031,com.sec.android.app.shealth,4833555,46080000,c6c1e7a0-01f3-4a23-9003-4392aecf46c3,1466121600000,
null
null
,,,,2858,,1861433,,0,,2016-01-25 23:09:14.217,,2016-01-24 05:00:01.337,,,,60,120000,50,,,,2293.4102,,131.82999,d3664629-14b0-422b-a4be-6b75294f430c.extra_data.json,OBFuvbOf82,28000,com.sec.android.app.shealth,1833433,38820000,d3664629-14b0-422b-a4be-6b75294f430c,1453593600000,
