com.samsung.shealth.tracker.pedometer_step_count,6242001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
54075,4,0,79,2023-07-01 23:30:00.000,,,2023-07-01 23:35:01.821,2023-07-01 23:35:01.821,79,1.0555556,57.08,2.4,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:31:00.000,b12af2d7-8690-4561-abf4-dc16317217fb,
12993,4,0,18,2023-07-01 23:12:00.000,,,2023-07-01 23:15:00.557,2023-07-01 23:15:00.557,18,0.8888889,11.55,0.95,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 23:13:00.000,4e9b947d-2d61-4cac-99ab-f52c9a07f73d,
60000,4,0,97,2023-07-01 23:43:00.000,,,2023-07-01 23:47:57.138,2023-07-01 23:47:57.138,97,1.1801667,70.81,2.91,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:44:00.000,7accb718-f049-4928-98cd-76e42bd7c061,
52384,4,0,81,2023-07-01 23:32:00.000,,,2023-07-01 23:35:00.635,2023-07-01 23:35:00.635,81,1.0277778,53.84,4.05,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 23:33:00.000,687e9d90-4041-4ff6-a65a-1850cb42686a,
59633,4,0,92,2023-07-01 23:41:00.000,,,2023-07-01 23:44:34.965,2023-07-01 23:44:34.965,92,1.0277778,61.29,4.6,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 23:42:00.000,9ff474a8-b610-4875-9edb-100117b71e68,
50117,4,0,77,2023-07-01 23:38:00.000,,,2023-07-01 23:39:35.298,2023-07-01 23:39:35.298,77,1.0277778,51.51,3.88,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 23:39:00.000,982e870d-4c1c-418a-a507-aff21be12bb0,
58897,4,0,86,2023-07-01 23:39:00.000,,,2023-07-01 23:47:56.953,2023-07-01 23:47:56.953,86,1.0555556,62.17,2.6,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:40:00.000,faebf12c-233e-44f1-9798-1b81fbfdf371,
44440,4,0,62,2023-07-02 00:06:00.000,,,2023-07-02 00:08:28.188,2023-07-02 00:08:28.188,62,1.0,44.44,1.91,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-02 00:07:00.000,2973d9f6-5e0f-4162-b04b-2a55acf788e4,
38967,4,0,60,2023-07-01 23:55:00.000,,,2023-07-02 00:15:00.608,2023-07-02 00:15:00.608,60,1.0277778,40.05,3.0,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 23:56:00.000,db1705b4-c7b9-4871-924b-db7205eeaa90,
44001,4,0,70,2023-07-01 23:45:00.000,,,2023-07-01 23:47:57.210,2023-07-01 23:47:57.210,67,1.1111112,48.89,2.03,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:46:00.000,250ed433-a316-40e6-8884-9d468fa271fd,
