com.samsung.shealth.report,6242001,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/New_York,1474171200000,2017-04-11 04:07:20.367,2016-11-18 16:06:51.873,0,0,1,Q2GTsbBv8Q,X,com.sec.android.app.shealth,d525b204-82dc-45a6-90f9-7b6cc0f3eb36,d525b204-82dc-45a6-90f9-7b6cc0f3eb36.compressed_content.json,
America/New_York,1554004800000,2019-04-13 17:51:02.069,2019-04-07 17:52:16.308,0,0,2,4V/TlqPcbG,X,com.sec.android.app.shealth,61d8efd7-d90a-4534-a202-791319eca362,61d8efd7-d90a-4534-a202-791319eca362.compressed_content.json,
America/New_York,1558843200000,2019-06-02 17:51:02.082,2019-06-02 17:51:00.509,0,0,2,4V/TlqPcbG,X,com.sec.android.app.shealth,15473b03-8131-495d-b43d-b5bf75f4d4b6,15473b03-8131-495d-b43d-b5bf75f4d4b6.compressed_content.json,
America/New_York,1460865600000,2019-07-22 16:18:13.334,2019-03-06 18:49:21.031,0,0,1,4V/TlqPcbG,X,com.sec.android.app.shealth,cef128a9-3c9b-4c78-bc9a-5107c387182d,cef128a9-3c9b-4c78-bc9a-5107c387182d.compressed_content.json,
America/New_York,1460865600000,2017-04-11 04:07:22.800,2016-11-18 16:06:53.018,0,0,1,Q2GTsbBv8Q,X,com.sec.android.app.shealth,3f662174-ee39-4058-8f2c-946d837a7248,3f662174-ee39-4058-8f2c-946d837a7248.compressed_content.json,
America/New_York,1459051200000,2018-07-27 16:01:35.057,2018-04-17 13:24:06.451,0,0,1,9wVta8KBzt,X,com.sec.android.app.shealth,5ba83300-5ffe-4fbd-85a1-943cccb01e50,5ba83300-5ffe-4fbd-85a1-943cccb01e50.compressed_content.json,
America/New_York,1628395200000,2021-08-15 17:36:33.981,2021-08-15 17:36:32.300,0,0,2,KwIsSebkfa,X,com.sec.android.app.shealth,df6c7164-cac6-44f7-b898-256bb207b521,df6c7164-cac6-44f7-b898-256bb207b521.compressed_content.json,
America/New_York,1458446400000,2018-07-27 16:01:35.168,2018-04-17 13:24:06.702,0,0,1,9wVta8KBzt,X,com.sec.android.app.shealth,fa35d6e1-9ea4-48fb-a184-544fb9524f6f,fa35d6e1-9ea4-48fb-a184-544fb9524f6f.compressed_content.json,
America/New_York,1572148800000,2019-11-03 20:43:32.199,2019-11-03 20:43:29.720,0,0,2,cfxbbbfj2r,X,com.sec.android.app.shealth,7d2d399a-77fb-4f07-ac07-d95522f18dc1,7d2d399a-77fb-4f07-ac07-d95522f18dc1.compressed_content.json,
America/New_York,1477800000000,2018-03-14 16:00:36.859,2017-09-06 22:02:31.597,0,0,1,EHdtKydEi4,X,com.sec.android.app.shealth,11c91bc5-b37d-41b8-a77a-a79a85f2f99c,11c91bc5-b37d-41b8-a77a-a79a85f2f99c.compressed_content.json,
America/New_York,1606021200000,2020-11-30 18:33:33.178,2020-11-29 18:49:57.649,0,0,2,KwIsSebkfa,X,com.sec.android.app.shealth,fd4534fe-6e37-4ebb-aedd-d3ea1318cd9e,fd4534fe-6e37-4ebb-aedd-d3ea1318cd9e.compressed_content.json,
America/New_York,1476594000000,2022-04-05 20:38:07.801,2021-08-25 22:18:39.466,0,0,1,yEjG51P5jF,X,com.sec.android.app.shealth,8ec1f8a0-b529-4c29-ab07-cf718a7f7f0a,8ec1f8a0-b529-4c29-ab07-cf718a7f7f0a.compressed_content.json,
America/New_York,1581829200000,2020-02-23 18:29:29.764,2020-02-23 18:29:26.403,0,0,2,cfxbbbfj2r,X,com.sec.android.app.shealth,c4f6c259-6ee8-491f-a425-fb5c0cfa74e9,c4f6c259-6ee8-491f-a425-fb5c0cfa74e9.compressed_content.json,
