date,calories,carbs_g,fat_g,protein_g,chol_mg,sodium_mg,sugar_g,fiber_g
2012-04-17,2045,266,102,44,83,4138,118,12
2012-04-18,1741,177,52,110,125,3541,51,9
2012-04-19,1407,164,46,94,73,3439,47,15
2012-04-20,2575,461,54,61,85,4051,127,20
2012-04-21,2242,379,75,48,85,3441,201,18
2012-04-22,1881,329,50,45,25,3641,174,13
2012-04-23,1690,224,51,87,115,2753,110,14
2012-04-24,2097,255,100,68,147,4894,102,17
2012-04-25,1897,428,122,54,45,6525,96,40
2012-04-26,1713,237,74,36,80,3154,147,12
2012-04-27,1694,257,54,46,20,2536,92,14
2012-04-28,2003,284,94,52,47,2896,114,15
2012-04-29,2123,230,84,51,35,3969,72,7
2012-04-30,1592,200,62,91,54,4625,69,11
2012-05-01,2645,359,97,81,134,3167,140,40
2012-05-02,1745,236,67,68,65,4197,96,15
2012-05-03,1453,152,64,80,78,6114,46,16
2012-05-04,2516,334,94,44,99,2141,167,13
2012-05-05,1865,261,65,55,95,2988,88,5
2012-05-06,1961,276,62,54,95,3727,147,18
2012-05-07,1470,232,48,41,75,3198,127,13
2012-05-08,2810,370,130,91,191,4881,112,16
2012-05-09,1774,209,68,71,110,4337,71,12
2012-05-10,1392,201,50,40,70,3160,84,7
2012-05-11,1907,289,69,45,37,4070,122,12
2012-05-12,2182,311,75,74,119,3446,121,59
2012-05-13,2226,244,93,71,70,2671,107,24
2012-05-14,2130,285,58,59,30,2539,74,24
2012-05-15,2062,254,89,67,125,2566,108,14
2012-05-16,2585,245,92,54,133,2879,67,15
2012-05-17,2182,286,85,73,95,3455,81,14
2012-05-18,3814,341,98,93,196,4728,84,13
2012-05-19,4218,502,147,80,25,5014,37,34
2012-05-20,1515,238,52,26,10,913,42,8
2012-05-21,1729,257,67,33,54,2250,66,12
2012-05-22,1745,233,67,65,71,3460,73,20
2012-05-23,1605,155,74,78,120,4530,48,15
2012-05-24,1655,238,55,56,90,4107,102,7
2012-05-25,2396,260,114,78,188,4810,106,12
2012-05-26,1301,149,45,88,54,4566,73,8
