Date,Calories
2020-03-08,1587
2020-03-09,1839
2020-03-10,1766
2020-03-11,2703
2020-03-12,2267
2020-03-13,1695
2020-03-14,2203
2020-03-15,1329
2020-03-16,1419
2020-03-17,1467
2020-03-18,1580
2020-03-19,1580
2020-03-20,1532
2020-03-21,2002
2020-03-22,2391
2020-03-23,2443
2020-03-24,1665
2020-03-25,2370
2020-03-26,1739
2020-03-27,2528
2020-03-28,2108
2020-03-29,2223
2020-03-30,1623
2020-03-31,1585
2020-04-01,1506
2020-04-02,1626
2020-04-03,1522
2020-04-04,1456
2020-04-05,1701
2020-04-06,1711
2020-04-07,1747
2020-04-08,1419
2020-04-09,1655
2020-04-10,1532
2020-04-11,2034
2020-04-12,2179
2020-04-13,2050
2020-04-14,1645
2020-04-15,1676
2020-04-16,1665
2020-04-17,1683
2020-04-18,2053
2020-04-19,2075
2020-04-20,1740
2020-04-21,1660
2020-04-22,1819
2020-04-23,1740
2020-04-24,1590
2020-04-25,2615
2020-04-26,2838
2020-04-27,1794
2020-04-28,1720
2020-04-29,1595
2020-04-30,1820
2020-05-01,1712
2020-05-02,2778
2020-05-03,2317
2020-05-04,1661
2020-05-05,1754
2020-05-06,1559
2020-05-07,1779
2020-05-08,1731
2020-05-09,2274
2020-05-10,2504
2020-05-11,2763
2020-05-12,3013
2020-05-13,3611
2020-05-14,2917
2020-05-15,2270
2020-05-16,2134
2020-05-17,2970
2020-05-18,2498
2020-05-19,3225
2020-05-20,2590
2020-05-21,2515
2020-05-22,2415
2020-05-23,2029
2020-05-24,2154
2020-05-25,2273
2020-05-26,2148
2020-05-27,2510
2020-05-28,2223
2020-05-29,2553
2020-05-30,2682
2020-05-31,2561
2020-06-01,2240
2020-06-02,1704
2020-06-03,2191
2020-06-04,2364
2020-06-05,4767
2020-06-06,1698
2020-06-07,2025
2020-06-08,1783
2020-06-09,1894
2020-06-10,1795
2020-06-11,2358
2020-06-12,1855
2020-06-13,1970
2020-06-14,2031
2020-06-15,2061
2020-06-16,1947
2020-06-17,2569
2020-06-18,2137
2020-06-19,2370
2020-06-20,2090
2020-06-21,1970
2020-06-22,2012
2020-06-23,2140
2020-06-24,1966
2020-06-25,1938
2020-06-26,2271
2020-06-27,1999
2020-06-28,1972
2020-06-29,2077
2020-06-30,2218
2020-07-01,2831
2020-07-02,2290
2020-07-03,2104
2020-07-04,2534
2020-07-05,2703
2020-07-06,2147
2020-07-07,2153
2020-07-08,2126
2020-07-09,1912
2020-07-10,2091
2020-07-11,2253
2020-07-12,2173
2020-07-13,2243
2020-07-14,2103
2020-07-15,2168
2020-07-16,1953
2020-07-17,2017
2020-07-18,2292
2020-07-19,2283
2020-07-20,2011
2020-07-21,2109
2020-07-22,2047
2020-07-23,2044
2020-07-24,2120
2020-07-25,2125
2020-07-26,2005
2020-07-27,2135
2020-07-28,2160
2020-07-29,2060
2020-07-30,2303
2020-07-31,1997
2020-08-01,2073
2020-08-02,2205
2020-08-03,1848
2020-08-04,2020
2020-08-05,2073
2020-08-06,2080
2020-08-07,2032
2020-08-08,2168
2020-08-09,2229
2020-08-10,1972
2020-08-11,2106
2020-08-12,2176
2020-08-13,2253
2020-08-14,2010
2020-08-15,2108
2020-08-16,2137
2020-08-17,1799
2020-08-18,1940
2020-08-19,2079
2020-08-20,1956
2020-08-21,1916
2020-08-22,1950
2020-08-23,2117
2020-08-24,1985
2020-08-25,2285
2020-08-26,2198
2020-08-27,2165
2020-08-28,2070
2020-08-29,2186
2020-08-30,2000
2020-08-31,2175
2020-09-01,2280
2020-09-02,2185
2020-09-03,2275
2020-09-04,2170
2020-09-05,2270
2020-09-06,2117
2020-09-07,2534
2020-09-08,2591
2020-09-09,2284
2020-09-10,2137
2020-09-11,2833
2020-09-12,2027
2020-09-13,1915
2020-09-14,2143
2020-09-15,1787
2020-09-16,2310
2020-09-17,3228
2020-09-18,2418
2020-09-19,2345
2020-09-20,2045
2020-09-21,2178
2020-09-22,2012
2020-09-23,2027
2020-09-24,2263
2020-09-25,2187
2020-09-26,1928
2020-09-27,2075
2020-09-28,2322
2020-09-29,2165
2020-09-30,2257
2020-10-01,1969
2020-10-02,2670
2020-10-03,2247
2020-10-04,2813
2020-10-05,2017
2020-10-06,1950
2020-10-07,2448
2020-10-08,2090
2020-10-09,2281
2020-10-10,2095
2020-10-11,2099
2020-10-12,2029
2020-10-13,1973
2020-10-14,2099
2020-10-15,2509
2020-10-16,2119
2020-10-17,1944
2020-10-18,2320
2020-10-19,1801
2020-10-20,2648
2020-10-21,2415
2020-10-22,3303
2020-10-23,2126
2020-10-24,2172
2020-10-25,2121
2020-10-26,2074
2020-10-27,2080
2020-10-28,2583
2020-10-29,1944
2020-10-30,2218
2020-10-31,2200
2020-11-01,1976
2020-11-02,2028
2020-11-03,2940
2020-11-04,1987
2020-11-05,2666
2020-11-06,2968
2020-11-07,2364
2020-11-08,2124
2020-11-09,2131
2020-11-10,2137
2020-11-11,1998
2020-11-12,2176
2020-11-13,2231
2020-11-14,2028
2020-11-15,2899
2020-11-16,1959
2020-11-17,2076
2020-11-18,2102
2020-11-19,2123
2020-11-20,2021
2020-11-21,2062
2020-11-22,2055
2020-11-23,2276
2020-11-24,1980
2020-11-25,2015
2020-11-26,3331
2020-11-27,2522
2020-11-28,2202
2020-11-29,2425
2020-11-30,2386
2020-12-01,2599
2020-12-02,2805
2020-12-03,2035
2020-12-04,2072
2020-12-05,2072
2020-12-06,1894
2020-12-07,2151
2020-12-08,1807
2020-12-09,1963
2020-12-10,2355
2020-12-11,2332
2020-12-12,2536
2020-12-13,2252
2020-12-14,2630
2020-12-15,2168
2020-12-16,1868
2020-12-17,2182
2020-12-18,2600
2020-12-19,2412
2020-12-20,2130
2020-12-21,1943
2020-12-22,1863
2020-12-23,3499
2020-12-24,3417
2020-12-25,2354
2020-12-26,2063
2020-12-27,2738
2020-12-28,2121
2020-12-29,1278
2020-12-30,2127
2020-12-31,2087
2021-01-01,2370
2021-01-02,2343
2021-01-03,2321
2021-01-04,3063
2021-01-05,2656
2021-01-06,2273
2021-01-07,1872
2021-01-08,2661
2021-01-09,2543
2021-01-10,1760
2021-01-11,2590
2021-01-12,2437
2021-01-13,1787
2021-01-14,1655
2021-01-15,1567
2021-01-16,2136
2021-01-17,2243
2021-01-18,2147
2021-01-19,1999
2021-01-20,2440
2021-01-21,3444
2021-01-22,2850
2021-01-23,2528
2021-01-24,3184
2021-01-25,3477
2021-01-26,2179
2021-01-27,2580
2021-01-28,2015
2021-01-29,2233
2021-01-30,2765
2021-01-31,2522
2021-02-01,3007
2021-02-02,2058
2021-02-03,2844
2021-02-04,2650
2021-02-05,2500
2021-02-06,2805
2021-02-07,2620
2021-02-08,1985
2021-02-09,1547
2021-02-10,1837
2021-02-11,1673
2021-02-12,1869
2021-02-13,1723
2021-02-14,1746
2021-02-15,1662
2021-02-16,2195
2021-02-17,1752
2021-02-18,2379
2021-02-19,2559
2021-02-20,2848
2021-02-21,2287
2021-02-22,1719
2021-02-23,1996
2021-02-24,2062
2021-02-25,1788
2021-02-26,2417
2021-02-27,2157
2021-02-28,2087
2021-03-01,2055
2021-03-02,1482
2021-03-03,2073
2021-03-04,1852
2021-03-05,2954
2021-03-06,2078
2021-03-07,2273
2021-03-08,2256
2021-03-09,1830
2021-03-10,2366
2021-03-11,2260
2021-03-12,2038
2021-03-13,2210
2021-03-14,2111
2021-03-15,2018
2021-03-16,1959
2021-03-17,1988
2021-03-18,2612
2021-03-19,2068
2021-03-20,2112
2021-03-21,2433
2021-03-22,2705
2021-03-23,2250
2021-03-24,2142
2021-03-25,2261
2021-03-26,2382
2021-03-27,2554
2021-03-28,2041
2021-03-29,1838
2021-03-30,1769
2021-03-31,1908
2021-04-01,2493
2021-04-02,1985
2021-04-03,1700
2021-04-04,1820
2021-04-05,2291
2021-04-06,1917
2021-04-07,2196
2021-04-08,2160
2021-04-09,1912
2021-04-10,2000
2021-04-11,1708
2021-04-12,1693
2021-04-13,2226
2021-04-14,1839
2021-04-15,1711
2021-04-16,2364
2021-04-17,2113
2021-04-18,2594
2021-04-19,2842
2021-04-20,2060
2021-04-21,2566
2021-04-22,2035
2021-04-23,1931
2021-04-24,2053
2021-04-25,2104
2021-04-26,1821
2021-04-27,2177
2021-04-28,1945
2021-04-29,1874
2021-04-30,2230
2021-05-01,2679
2021-05-02,2220
2021-05-03,2313
2021-05-04,2470
2021-05-05,2200
2021-05-06,2002
2021-05-07,1944
2021-05-08,2434
2021-05-09,1959
2021-05-10,2103
2021-05-11,2213
2021-05-12,2139
2021-05-13,2187
2021-05-14,3185
2021-05-15,1975
2021-05-16,2052
2021-05-17,1576
2021-05-18,1896
2021-05-19,1701
2021-05-20,1836
2021-05-21,1887
2021-05-22,1819
2021-05-23,2931
2021-05-24,1714
2021-05-25,1984
2021-05-26,2000
2021-05-27,2296
2021-05-28,3126
2021-05-29,1988
2021-05-30,2051
2021-05-31,2363
2021-06-01,3358
2021-06-02,2346
2021-06-03,2136
2021-06-04,2091
2021-06-05,1947
2021-06-06,2191
2021-06-07,1842
2021-06-08,1976
2021-06-09,2487
2021-06-10,2009
2021-06-11,2216
2021-06-12,2167
2021-06-13,2308
2021-06-14,2070
2021-06-15,2453
2021-06-16,2132
2021-06-17,2007
2021-06-18,2173
2021-06-19,2462
2021-06-20,2385
2021-06-21,1967
2021-06-22,2081
2021-06-23,2453
2021-06-24,1941
2021-06-25,2470
2021-06-26,2168
2021-06-27,2385
2021-06-28,2543
2021-06-29,2249
2021-06-30,3019
2021-07-01,2103
2021-07-02,2210
2021-07-03,2162
2021-07-04,2230
2021-07-05,1339
2021-07-06,2404
2021-07-07,1973
2021-07-08,2483
2021-07-09,2056
2021-07-10,2000
2021-07-11,1928
2021-07-12,2464
2021-07-13,3323
2021-07-14,1718
2021-07-15,2406
2021-07-16,1860
2021-07-17,2674
2021-07-18,2866
2021-07-19,2222
2021-07-20,2356
2021-07-21,2041
2021-07-22,2083
2021-07-23,1994
2021-07-24,2410
2021-07-25,2429
2021-07-26,2020
2021-07-27,2467
2021-07-28,2345
2021-07-29,2283
2021-07-30,2329
2021-07-31,2142
2021-08-01,1955
2021-08-02,1764
2021-08-03,2500
2021-08-04,2084
2021-08-05,2041
2021-08-06,2313
2021-08-07,2499
2021-08-08,3310
2021-08-09,1977
2021-08-10,2142
2021-08-11,2118
2021-08-12,2080
2021-08-13,1998
2021-08-14,2403
2021-08-15,1907
2021-08-16,2030
2021-08-17,2044
2021-08-18,1902
2021-08-19,2634
2021-08-20,2809
2021-08-21,2247
2021-08-22,1934
2021-08-23,2023
2021-08-24,1869
2021-08-25,2294
2021-08-26,2447
2021-08-27,2150
2021-08-28,2213
2021-08-29,2109
2021-08-30,1804
2021-08-31,2117
2021-09-01,1991
2021-09-02,1965
2021-09-03,1858
2021-09-04,2073
2021-09-05,2512
2021-09-06,1548
2021-09-07,1995
2021-09-08,1553
2021-09-09,1901
2021-09-10,2325
2021-09-11,2071
2021-09-12,2136
2021-09-13,1663
2021-09-14,2333
2021-09-15,1971
2021-09-16,2058
2021-09-17,2130
2021-09-18,1982
2021-09-19,2257
2021-09-20,1731
2021-09-21,2379
2021-09-22,2413
2021-09-23,2929
2021-09-24,1981
2021-09-25,2133
2021-09-26,2270
2021-09-27,1968
2021-09-28,2361
2021-09-29,2140
2021-09-30,2098
2021-10-01,2546
2021-10-02,2015
2021-10-03,2255
2021-10-04,2123
2021-10-05,2099
2021-10-06,2440
2021-10-07,2101
2021-10-08,2968
2021-10-09,2781
2021-10-10,2892
2021-10-11,1994
2021-10-12,2092
2021-10-13,2193
2021-10-14,1943
2021-10-15,2065
2021-10-16,2381
2021-10-17,2360
2021-10-18,2147
2021-10-19,2742
2021-10-20,2117
2021-10-21,3110
2021-10-22,2447
2021-10-23,3643
2021-10-24,2825
2021-10-25,2710
2021-10-26,1740
2021-10-27,1514
2021-10-28,1527
2021-10-29,1715
2021-10-30,2019
2021-10-31,1655
2021-11-01,1515
2021-11-02,1498
2021-11-03,1714
2021-11-04,1551
2021-11-05,1685
2021-11-06,2500
2021-11-07,1645
2021-11-08,1519
2021-11-09,1913
2021-11-10,1859
2021-11-11,2042
2021-11-12,1657
2021-11-13,1629
2021-11-14,1658
2021-11-15,1658
2021-11-16,1822
2021-11-17,1552
2021-11-18,1620
2021-11-19,1818
2021-11-20,1976
2021-11-21,2074
2021-11-22,2974
2021-11-23,2935
2021-11-24,2641
2021-11-25,2884
2021-11-26,2212
2021-11-27,2587
2021-11-28,2559
2021-11-29,2628
2021-11-30,2937
2021-12-01,2522
2021-12-02,2323
2021-12-03,2611
2021-12-04,2364
2021-12-05,2247
2021-12-06,2089
2021-12-07,2361
2021-12-08,2449
2021-12-09,3321
2021-12-10,2933
2021-12-11,2076
2021-12-12,2427
2021-12-13,1822
2021-12-14,1947
2021-12-15,3175
2021-12-16,1710
2021-12-17,1746
