Date,Calories
5/30/2017,1500
5/31/2017,1485
6/1/2017,1585
6/2/2017,1670
6/3/2017,1800
6/4/2017,947
6/5/2017,2528
6/6/2017,1820
6/7/2017,1980
6/8/2017,2150
6/9/2017,1875
6/10/2017,1420
6/11/2017,4168
6/12/2017,700
6/13/2017,1939
6/14/2017,2491
6/15/2017,2450
6/16/2017,2539
6/17/2017,3528
6/18/2017,970
6/19/2017,2124
6/20/2017,2047
6/21/2017,2586
6/22/2017,3234
6/23/2017,1090
6/24/2017,2530
6/25/2017,2260
6/26/2017,2369
6/27/2017,1470
6/28/2017,2264
6/29/2017,2812
6/30/2017,1402
7/1/2017,2293
7/2/2017,2927
7/3/2017,3779
7/4/2017,2792
7/5/2017,1693
7/6/2017,2842
7/7/2017,1694
7/8/2017,2747
7/9/2017,1331
7/10/2017,1782
7/11/2017,2176
7/12/2017,2409
7/13/2017,3557
7/14/2017,2482
7/15/2017,2274
7/16/2017,2112
7/17/2017,2163
7/18/2017,2298
7/19/2017,2258
7/20/2017,2283
7/21/2017,2277
7/22/2017,2770
7/23/2017,2370
7/24/2017,2812
7/25/2017,2060
7/26/2017,2825
7/27/2017,3218
7/28/2017,1939
7/29/2017,3899
7/30/2017,3233
7/31/2017,4667
8/1/2017,2265
8/2/2017,2854
8/3/2017,2101
8/4/2017,2040
8/5/2017,2829
8/6/2017,2217
8/7/2017,2140
8/8/2017,2801
8/9/2017,2377
8/10/2017,3224
8/11/2017,4036
8/12/2017,2903
8/13/2017,1811
8/14/2017,2903
8/15/2017,3955
8/16/2017,1855
8/17/2017,1554
8/18/2017,1640
8/19/2017,2110
8/20/2017,2427
8/21/2017,4400
8/22/2017,3750
8/23/2017,1760
8/24/2017,1630
8/25/2017,1658
8/26/2017,1600
8/27/2017,1676
8/28/2017,2745
8/29/2017,2800
8/30/2017,1797
8/31/2017,2045
9/1/2017,2330
9/2/2017,2209
9/3/2017,2861
9/4/2017,2116
9/5/2017,2485
9/6/2017,2056
9/7/2017,2150
9/8/2017,3288
9/9/2017,3462
9/10/2017,1963
9/11/2017,1470
9/12/2017,1240
9/13/2017,1934
9/14/2017,2026
9/15/2017,2050
9/16/2017,2025
9/17/2017,2191
9/18/2017,2233
9/19/2017,1842
9/20/2017,1758
9/21/2017,1758
9/22/2017,1929
9/23/2017,2421
9/24/2017,1345
9/25/2017,1587
9/26/2017,1796
9/27/2017,1727
9/28/2017,1692
9/29/2017,1783
9/30/2017,1701
10/1/2017,1645
10/2/2017,1999
10/3/2017,2176
10/4/2017,1905
10/5/2017,1768
10/6/2017,1647
10/7/2017,1422
10/8/2017,1164
10/9/2017,1537
10/10/2017,1597
10/11/2017,1701
10/12/2017,2459
10/13/2017,1744
10/14/2017,1759
10/15/2017,1679
10/16/2017,1874
10/17/2017,1593
10/18/2017,2369
10/19/2017,1852
10/20/2017,2139
10/21/2017,2590
10/22/2017,1832
10/23/2017,1889
10/24/2017,1689
10/25/2017,2621
10/26/2017,1932
10/27/2017,1777
10/28/2017,1765
10/29/2017,1764
10/30/2017,1992
10/31/2017,1975
11/1/2017,1859
11/2/2017,1912
11/3/2017,2009
11/4/2017,1860
