date,calories,carbs_g,fat_g,protein_g,chol_mg,sodium_mg,sugar_g,fiber_g,lbs,fat_pct,calories_42d_avg,carbs_g_42d_avg,fat_g_42d_avg,protein_g_42d_avg,chol_mg_42d_avg,sodium_mg_42d_avg,sugar_g_42d_avg,fiber_g_42d_avg,lbs_interp,fat_pct_interp
2011-08-28,1488.0,244.0,29.0,31.0,13.0,2691.0,66.0,14.0,,,1778.9761904761904,235.3095238095238,63.404761904761905,54.19047619047619,50.642857142857146,3214.2380952380954,73.16666666666667,12.976190476190476,227.92727272727274,0.3098181818181818
2011-08-29,1679.0,301.0,38.0,46.0,10.0,3495.0,77.0,16.0,,,1779.142857142857,236.97619047619048,62.76190476190476,54.23809523809524,49.30952380952381,3251.690476190476,72.4047619047619,12.976190476190476,227.89090909090908,0.30972727272727274
2011-08-30,1828.0,273.0,66.0,44.0,11.0,4982.0,60.0,16.0,,,1772.3809523809523,237.78571428571428,62.11904761904762,54.095238095238095,49.57142857142857,3283.5238095238096,72.28571428571429,13.095238095238095,227.85454545454544,0.30963636363636365
2011-08-31,1787.0,238.0,61.0,75.0,75.0,3161.0,50.0,11.0,,,1776.952380952381,237.07142857142858,62.714285714285715,54.714285714285715,50.04761904761905,3281.8333333333335,71.5952380952381,13.0,227.8181818181818,0.30954545454545457
2011-09-01,2350.0,342.0,86.0,79.0,129.0,2369.0,134.0,32.0,,,1792.904761904762,239.64285714285714,63.11904761904762,55.45238095238095,50.857142857142854,3239.1190476190477,73.21428571428571,13.452380952380953,227.78181818181818,0.3094545454545454
2011-09-02,2090.0,305.0,50.0,48.0,15.0,1868.0,92.0,19.0,,,1786.0,239.88095238095238,62.214285714285715,54.11904761904762,50.38095238095238,3224.714285714286,74.21428571428571,13.738095238095237,227.74545454545455,0.30936363636363634
2011-09-03,1607.0,241.0,51.0,40.0,15.0,2893.0,88.0,14.0,,,1788.7857142857142,239.95238095238096,62.45238095238095,53.666666666666664,49.19047619047619,3205.0,73.92857142857143,13.666666666666666,227.70909090909092,0.30927272727272725
2011-09-04,1628.0,294.0,34.0,48.0,10.0,2963.0,154.0,19.0,,,1792.095238095238,242.92857142857142,61.80952380952381,53.42857142857143,49.30952380952381,3147.3571428571427,75.76190476190476,13.714285714285714,227.67272727272726,0.30918181818181817
2011-09-05,1724.0,318.0,40.0,40.0,41.0,1777.0,103.0,24.0,,,1798.1904761904761,246.42857142857142,61.07142857142857,53.26190476190476,47.54761904761905,3156.2380952380954,77.42857142857143,14.119047619047619,227.63636363636363,0.3090909090909091
2011-09-06,1893.0,264.0,66.0,39.0,15.0,2758.0,65.0,14.0,227.6,0.309,1806.2142857142858,247.0,61.42857142857143,53.142857142857146,46.714285714285715,3161.095238095238,78.54761904761905,14.238095238095237,227.6,0.309
