date,meal,food_name,calories,carbs,fat,protein,cholest,sodium,sugars,fiber
2012-08-20,Snacks,"Kellogg's - Raisin Bran Crunch, 1 Cup",190,45,1,3,0,210,20,4
2012-08-20,Snacks,"Mayfield - 1% Nurture Low Fat Milk, 0.5 cup",55,7,1,4,5,63,6,0
2012-08-20,Snacks,"Fresh Fruit - Lychee, 12 piece",72,19,0,1,0,0,18,1
2012-08-20,Snacks,"Mayfield - 1% Nurture Low Fat Milk, 0.5 cup",55,7,1,4,5,63,6,0
2012-08-20,Snacks,"Quaker - Captain Crunch, 1 cup",147,31,2,1,0,267,16,1
2012-08-20,Lunch,"Stouffer's - Vegetable Lasagna, 1.2 package (297g)",480,52,23,20,30,816,5,6
2012-08-20,Lunch,"Calhoun's - Spinach Maria, 0.75 serving",259,12,18,15,58,491,4,2
2012-08-20,Dinner,"Watermelon - Raw, 1 cup, balls",46,12,0,1,0,2,10,1
2012-08-21,Snacks,"Krispy Kreme - Glazed Cruller, 1 donut (56 g)",220,27,12,2,15,260,15,1
2012-08-21,Snacks,"Krispy Kreme - Maple Iced Glazed Donut, 0.5 donut (66 g)",115,16,6,1,0,45,10,1
2012-08-21,Snacks,"Krispy Kreme - Chocolate Iced Glazed Donut, 1 donut (66 g)",250,33,12,3,5,100,21,1
2012-08-21,Snacks,"Kellogg's - Raisin Bran Crunch, 1 Cup",190,45,1,3,0,210,20,4
2012-08-21,Snacks,"Mayfield - 1% Nurture Low Fat Milk, 0.5 cup",55,7,1,4,5,63,6,0
2012-08-21,Lunch,"ETCH - Ultimate Macaroni & Cheese, 1 serving",238,31,14,11,0,780,2,1
2012-08-22,Snacks,"Krispy Kreme - Traditional Cake Donut, 1 donut (60g)",190,19,12,2,15,260,7,1
2012-08-22,Snacks,Krispy Kreme,NA,NA,NA,NA,NA,NA,NA,0.5
2012-08-22,Snacks,"Cheetos - Crunchy Cheese Flavored Snacks, 1 oz (28 g/About 21pieces)",150,15,10,2,0,290,1,1
2012-08-22,Snacks,"Fla Vor Ice - Hershey Fudge Pop, 1 pop",30,8,0,0,0,18,7,0
2012-08-22,Snacks,"Annie Chun's - Peanut Sesame Noodle Bowl, 1 Bowl (250g)",600,83,20,20,0,880,10,2
