analysis,cutoff_hour,cutoff_hhmm,target,target_label,early_n,late_n,early_mean,late_mean,diff_early_minus_late,raw_r,raw_n,partial_r,partial_n
cutoff_sweep,25.333333333333332,01:20,surplus,Same-day surplus,590,1443,25.083050847457628,-35.89466389466389,60.97771474212152,0.057103416177649705,2033,0.030149761695580934,2033
cutoff_sweep,25.333333333333332,01:20,steps,Same-day steps,592,1465,4067.4341216216217,3552.499658703072,514.9344629185498,0.0703753314153352,2057,0.09005387496994649,2033
cutoff_sweep,25.333333333333332,01:20,tdee,Same-day TDEE,590,1443,2231.942372881356,2215.5897435897436,16.352629291612175,0.04473779599983219,2033,0.01945862502383168,2033
cutoff_sweep,25.333333333333332,01:20,cal_next,Next-day calories,590,1442,2214.935593220339,2197.3599167822467,17.57567643809216,0.016312118514568305,2032,0.006612321202133535,2032
cutoff_sweep,25.333333333333332,01:20,steps_next,Next-day steps,592,1464,3906.285472972973,3619.251366120219,287.0341068527541,0.039229987538701425,2056,0.02201781032219193,2033
cutoff_sweep,25.333333333333332,01:20,weight_change,Weight change,256,704,0.05664062499999967,-0.1154829545454544,0.17212357954545407,0.07092028112306466,960,0.0679085098256499,958
cutoff_sweep,25.333333333333332,01:20,sleep_hours,Sleep duration,592,1465,8.49047297297297,7.53641638225256,0.9540565907204099,0.2826142201135074,2057,0.24287185442402337,2033
cutoff_sweep,25.5,01:30,calories,Same-day calories,686,1347,2235.879008746356,2184.9532293986636,50.92577934769224,0.049223275969434224,2033,0.020433555164656014,2033
cutoff_sweep,25.5,01:30,surplus,Same-day surplus,686,1347,7.110787172011662,-31.087602078693394,38.198389250705056,0.037266849579939074,2033,0.015780402321831633,2033
cutoff_sweep,25.5,01:30,steps,Same-day steps,691,1366,3978.2127351664253,3560.3133235724745,417.89941159395084,0.05958335609118276,2057,0.09109218867378499,2033
cutoff_sweep,25.5,01:30,tdee,Same-day TDEE,686,1347,2228.768221574344,2216.040831477357,12.72739009698671,0.03627546875650404,2033,0.014610062230157624,2033
