residence_days,tol,move_window,move_thresh,move_scale,base_rate,down_factor,subject_r90,subject_r180,score,trial_mean_abs_err,trial_worst_abs_err,SURMOUNT-4_mid,STEP-1 extension_mid,STEP-4_mid
21,4.0,21,0.1,0.02,0.01,0.3,-0.3933793078122723,-0.4878208970396164,0.0881846687405872,10.045255187978967,10.428953531210578,14.831119067541925,6.188290243340872,5.231420522148382
28,4.0,21,0.1,0.02,0.005,1.0,-0.48885802208668755,-0.6302774693421871,0.08815160343909281,12.42207646369148,15.22648893737651,12.304952931197741,4.201363332076391,4.400759520593237
14,3.0,7,0.08,0.02,0.01,0.5,-0.47852611213747936,-0.5996117675746709,0.0875300439945692,12.376741439975014,14.346123934340987,13.207006052817952,4.213109672896587,4.465143394858965
28,3.0,21,0.1,0.02,0.01,1.0,-0.7116649207006123,-0.8444181572631587,0.08716770408306715,20.047424159646148,22.354873342462213,7.967776004128059,2.003863404958679,3.015009258018741
14,3.0,14,0.1,0.02,0.005,1.0,-0.5083567916916633,-0.6503984430110433,0.08708300826108226,13.021708958118372,16.083960426821356,11.640541614256964,4.046019282206583,4.26776878802066
28,3.0,21,0.05,0.02,0.01,1.0,-0.5423378127882666,-0.6936971467464197,0.08703745613671576,14.86664273704788,15.796750191059328,13.831627135608414,2.5334259061558995,3.908399126899923
14,4.0,21,0.05,0.02,0.0075,1.0,-0.5112325008733917,-0.6576787646858154,0.08700508652164016,13.888626050360301,14.645489334454549,14.144243562428272,3.2280093901952673,4.225298023212799
14,2.5,21,0.1,0.02,0.01,1.0,-0.7633216944455916,-0.8727278510726585,0.08692077950112567,21.878159515595694,23.883772463255205,6.680006529008692,1.8463413610019026,2.7615239762137826
14,3.0,21,0.1,0.02,0.01,0.3,-0.3937622771848202,-0.48779200734755124,0.08671975638396791,10.029534647936757,10.645182784211716,14.661759090171772,6.135447414367804,5.200209449510897
21,2.5,21,0.1,0.02,0.01,1.0,-0.7277255155934722,-0.8533930398968106,0.08670080152426582,20.63037826321585,22.841714880488937,7.56409619341958,1.9484496908922837,2.9331677405416974
42,4.0,21,0.08,0.02,0.0075,1.0,-0.5381251386802243,-0.6888677815047882,0.08634301744777492,14.207647371040746,16.76291738116344,12.2206725962552,3.048128519786688,3.9311319525066697
14,2.5,21,0.1,0.02,0.005,1.0,-0.5030508705193986,-0.6439804220028907,0.08629565088557545,12.886929737944861,15.90166248749259,11.770443093940484,4.084587160030528,4.301852696434043
28,2.5,21,0.08,0.02,0.01,1.0,-0.6309892653105499,-0.7800752138731445,0.08566870295608653,17.254723350308346,20.022609534829645,10.158440532706377,2.1391414128094497,3.280470952292501
14,4.0,21,0.08,0.02,0.005,1.0,-0.485073102024157,-0.6254086060433413,0.08547719124452247,12.493153862924146,14.97328335211516,12.68055527510544,4.131767989031123,4.376092058910081
21,2.5,14,0.1,0.02,0.0075,1.0,-0.6105400471380622,-0.7587502816252485,0.08525439258809892,16.54805667234132,19.432452110313687,9.866604164841398,2.774567052162461,3.592612152488867
14,4.0,14,0.1,0.02,0.01,1.0,-0.778296668022268,-0.8786166744063512,0.08505052655634593,22.47232048612163,24.379973174348944,6.26592883405965,1.7975036784521072,2.6731052302751306
21,4.0,14,0.1,0.02,0.005,1.0,-0.49854981879733695,-0.6407971802436098,0.08468415929846845,12.807591846829592,15.771382256227666,11.88969563235495,4.098418349806468,4.313524780760222
21,4.0,14,0.1,0.02,0.01,1.0,-0.7559912172986959,-0.8691524257980376,0.08459194938252657,21.70174256751989,23.73644165657715,6.795643440616919,1.8681476699078838,2.787781652008522
21,2.5,14,0.08,0.02,0.01,0.5,-0.4586617437074743,-0.580356303985009,0.08378133853208675,12.084304813606686,13.319430890325386,13.984324888001126,4.413020236033898,4.628684045444706
28,2.5,21,0.1,0.02,0.0075,1.0,-0.571128704020241,-0.7220053768899488,0.08333326711551475,15.225710304784302,18.328123080904017,10.79212152372946,2.9091917258675593,3.759502374795345
