sp_params,baseline,m0,a,b,c,rmse,corr,mean_m,frac_high,frac_low,score,trial_mean_abs_err,SURMOUNT-4_mid,STEP-1 extension_mid,STEP-4_mid
"tol=3.0,hold=7,rate=0.001",0,0.1,0.005,0.005,0,2069.8696689304015,-0.13526344167824486,0.903764346945938,0.8967339097022095,0.08981748318924111,-2.99009998968949,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.2,0.005,0.005,0,2069.8696689304015,-0.13526344167824486,0.9038123776856113,0.8967339097022095,0.0893371757925072,-2.9901240050593265,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.3,0.005,0.005,0,2069.8696689304015,-0.13526344167824486,0.9038604084252847,0.8967339097022095,0.0893371757925072,-2.9901480204291633,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=14,rate=0.001",-100,0.0,0.002,0.001,50,2071.5189205249408,-0.13691469846484738,0.902499554408424,0.8756003842459174,0.06964457252641691,-2.990595811833175,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=3.0,hold=14,rate=0.001",-100,0.1,0.002,0.001,50,2071.5189205249408,-0.13691469846484738,0.9025475851480973,0.8756003842459174,0.06964457252641691,-2.9906198272030116,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=3.0,hold=14,rate=0.001",-100,0.2,0.002,0.001,50,2071.5189205249408,-0.13691469846484738,0.9025956158877707,0.8756003842459174,0.069164265129683,-2.9906438425728483,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=3.0,hold=14,rate=0.001",-100,0.3,0.002,0.001,50,2071.5189205249408,-0.13691469846484738,0.9026436466274441,0.8756003842459174,0.069164265129683,-2.990667857942685,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=2.5,hold=7,rate=0.001",0,0.0,0.0005,0.0005,0,2070.749154444841,-0.12940701592350273,0.8974517053309011,0.8467819404418828,0.05475504322766571,-2.9907513672737824,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.1,0.0005,0.0005,0,2070.749669964334,-0.12940859786367293,0.8975531609094415,0.8467819404418828,0.05475504322766571,-2.9908018196124604,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.2,0.0005,0.0005,0,2070.7501859360823,-0.12941017969857288,0.8976546164879818,0.8467819404418828,0.05427473583093179,-2.990852272456029,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.3,0.0005,0.0005,0,2070.7507023600874,-0.1294117614281973,0.8977560720665223,0.8467819404418828,0.05427473583093179,-2.9909027258044922,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.0,0.005,0.001,200,2071.826986854726,-0.13462781975914404,0.9008851918303661,0.8760806916426513,0.07636887608069164,-2.9909355410155793,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.1,0.005,0.001,200,2071.826986854726,-0.13462781975914404,0.9009332225700395,0.8760806916426513,0.07636887608069164,-2.990959556385416,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.0,0.005,0.002,100,2072.122260854885,-0.13580030402213153,0.9015221220206825,0.8842459173871278,0.08309317963496637,-2.9909630379794026,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.2,0.005,0.001,200,2071.826986854726,-0.13462781975914404,0.9009812533097129,0.8760806916426513,0.07588856868395773,-2.9909835717552524,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.1,0.005,0.002,100,2072.122260854885,-0.13580030402213153,0.9015701527603559,0.8842459173871278,0.08309317963496637,-2.9909870533492393,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.3,0.005,0.001,200,2071.826986854726,-0.13462781975914404,0.9010292840493862,0.8760806916426513,0.07588856868395773,-2.991007587125089,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.2,0.005,0.002,100,2072.122260854885,-0.13580030402213153,0.9016181835000292,0.8842459173871278,0.08261287223823247,-2.991011068719076,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.3,0.005,0.002,100,2072.122260854885,-0.13580030402213153,0.9016662142397026,0.8842459173871278,0.08261287223823247,-2.991035084088913,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.0,0.002,0.001,100,2069.778938717793,-0.1334304445979285,0.9041500268532084,0.8789625360230547,0.06772334293948126,-2.991118597970675,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.1,0.002,0.001,100,2069.778938717793,-0.1334304445979285,0.9041980575928819,0.8789625360230547,0.06772334293948126,-2.9911426133405117,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.2,0.002,0.001,100,2069.778938717793,-0.1334304445979285,0.9042460883325552,0.8789625360230547,0.06724303554274735,-2.9911666287103484,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.3,0.002,0.001,100,2069.778938717793,-0.1334304445979285,0.9042941190722287,0.8789625360230547,0.06724303554274735,-2.991190644080185,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.0,0.002,0.002,0,2070.3059869471326,-0.13478408012443863,0.9057069056191418,0.8895292987512008,0.07780979827089338,-2.9917472678197266,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.1,0.002,0.002,0,2070.3059869471326,-0.13478408012443863,0.9057549363588151,0.8895292987512008,0.07780979827089338,-2.9917712831895633,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
