date,fat_mass_lbs_filtered,fat_mass_std_filtered,tdee_filtered,tdee_std_filtered,fat_mass_lbs,fat_mass_std,tdee,tdee_std,innovation
2015-03-10,31.78,0.98,2247.0,151.0,32.73,0.6,2094.0,94.0,
2015-03-11,31.72,1.01,2248.0,151.0,32.71,0.6,2094.0,94.0,
2015-03-12,31.42,1.04,2250.0,152.0,32.46,0.61,2095.0,93.0,
2015-03-13,31.89,0.72,2176.0,131.0,32.2,0.62,2096.0,93.0,1.429
2015-03-14,31.96,0.75,2178.0,132.0,32.29,0.63,2097.0,92.0,
2015-03-15,32.1,0.77,2180.0,133.0,32.45,0.64,2097.0,92.0,
2015-03-16,32.01,0.79,2182.0,133.0,32.38,0.65,2098.0,91.0,
2015-03-17,31.74,0.82,2184.0,134.0,32.14,0.66,2099.0,90.0,
2015-03-18,31.98,0.84,2186.0,134.0,32.41,0.67,2100.0,90.0,
2015-03-19,31.86,0.87,2188.0,135.0,32.31,0.68,2100.0,89.0,
2015-03-20,31.92,0.9,2190.0,135.0,32.39,0.69,2101.0,89.0,
2015-03-21,32.17,0.93,2192.0,136.0,32.67,0.7,2102.0,88.0,
2015-03-22,32.2,0.95,2194.0,136.0,32.73,0.71,2103.0,88.0,
2015-03-23,32.08,0.98,2196.0,137.0,32.64,0.72,2103.0,87.0,
2015-03-24,32.19,1.01,2198.0,137.0,32.77,0.74,2104.0,86.0,
2015-03-25,32.17,1.04,2199.0,138.0,32.78,0.75,2105.0,86.0,
2015-03-26,32.28,1.07,2201.0,138.0,32.92,0.76,2106.0,85.0,
2015-03-27,32.03,1.1,2203.0,139.0,32.7,0.77,2106.0,85.0,
2015-03-28,32.15,1.13,2205.0,139.0,32.85,0.78,2107.0,84.0,
2015-03-29,32.01,1.16,2206.0,139.0,32.73,0.79,2108.0,84.0,
2015-03-30,31.87,1.19,2208.0,140.0,32.62,0.8,2109.0,83.0,
2015-03-31,31.75,1.22,2210.0,140.0,32.53,0.81,2109.0,82.0,
2015-04-01,31.88,1.26,2211.0,141.0,32.68,0.82,2110.0,82.0,
2015-04-02,31.78,1.29,2213.0,141.0,32.62,0.83,2111.0,81.0,
2015-04-03,31.83,1.32,2215.0,141.0,32.69,0.84,2112.0,81.0,
2015-04-04,32.0,1.35,2216.0,142.0,32.9,0.85,2112.0,80.0,
2015-04-05,32.04,1.38,2218.0,142.0,32.97,0.86,2113.0,80.0,
2015-04-06,32.17,1.41,2219.0,142.0,33.12,0.86,2114.0,79.0,
2015-04-07,32.1,1.45,2221.0,143.0,33.09,0.87,2115.0,79.0,
2015-04-08,32.16,1.48,2223.0,143.0,33.18,0.88,2115.0,78.0,
2015-04-09,32.17,1.51,2224.0,143.0,33.22,0.89,2116.0,78.0,
2015-04-10,32.23,1.54,2226.0,144.0,33.31,0.9,2117.0,78.0,
2015-04-11,32.31,1.58,2227.0,144.0,33.42,0.9,2117.0,77.0,
2015-04-12,32.43,1.61,2229.0,144.0,33.57,0.91,2118.0,77.0,
2015-04-13,32.66,1.64,2230.0,145.0,33.84,0.91,2119.0,76.0,
2015-04-14,32.39,1.68,2231.0,145.0,33.6,0.92,2120.0,76.0,
2015-04-15,32.49,1.71,2233.0,145.0,33.74,0.93,2120.0,76.0,
2015-04-16,32.39,1.74,2234.0,145.0,33.67,0.93,2121.0,76.0,
2015-04-17,32.25,1.77,2236.0,146.0,33.56,0.94,2122.0,75.0,
2015-04-18,32.3,1.81,2237.0,146.0,33.64,0.94,2122.0,75.0,
2015-04-19,32.31,1.84,2238.0,146.0,33.69,0.94,2123.0,75.0,
2015-04-20,32.48,1.87,2240.0,147.0,33.89,0.95,2124.0,75.0,
2015-04-21,32.45,1.91,2241.0,147.0,33.89,0.95,2125.0,74.0,
2015-04-22,32.73,1.94,2242.0,147.0,34.2,0.95,2125.0,74.0,
2015-04-23,32.77,1.97,2244.0,147.0,34.27,0.96,2126.0,74.0,
2015-04-24,32.82,2.01,2245.0,147.0,34.37,0.96,2127.0,74.0,
2015-04-25,32.87,2.04,2246.0,148.0,34.44,0.96,2128.0,74.0,
2015-04-26,32.92,2.07,2248.0,148.0,34.53,0.96,2128.0,74.0,
2015-04-27,33.12,2.11,2249.0,148.0,34.77,0.96,2129.0,74.0,
2015-04-28,33.13,2.14,2250.0,148.0,34.81,0.96,2130.0,74.0,
2015-04-29,33.33,2.17,2251.0,149.0,35.04,0.96,2130.0,74.0,
2015-04-30,33.4,2.2,2252.0,149.0,35.15,0.96,2131.0,74.0,
2015-05-01,33.35,2.24,2254.0,149.0,35.14,0.96,2132.0,74.0,
2015-05-02,33.19,2.27,2255.0,149.0,35.01,0.96,2133.0,74.0,
2015-05-03,33.12,2.3,2256.0,149.0,34.97,0.96,2133.0,74.0,
2015-05-04,33.08,2.34,2257.0,150.0,34.97,0.95,2134.0,74.0,
2015-05-05,33.06,2.37,2258.0,150.0,34.99,0.95,2135.0,74.0,
2015-05-06,33.1,2.4,2259.0,150.0,35.06,0.95,2135.0,74.0,
2015-05-07,32.94,2.44,2260.0,150.0,34.94,0.94,2136.0,74.0,
2015-05-08,32.81,2.47,2262.0,150.0,34.84,0.94,2137.0,75.0,
2015-05-09,33.15,2.5,2263.0,150.0,35.22,0.94,2138.0,75.0,
2015-05-10,33.5,2.54,2264.0,151.0,35.61,0.93,2138.0,75.0,
2015-05-11,33.65,2.57,2265.0,151.0,35.79,0.93,2139.0,75.0,
2015-05-12,33.66,2.6,2266.0,151.0,35.84,0.92,2140.0,75.0,
2015-05-13,33.85,2.63,2267.0,151.0,36.07,0.92,2141.0,76.0,
2015-05-14,33.92,2.67,2268.0,151.0,36.17,0.91,2141.0,76.0,
2015-05-15,33.89,2.7,2269.0,151.0,36.18,0.9,2142.0,76.0,
2015-05-16,33.91,2.73,2270.0,152.0,36.24,0.9,2143.0,77.0,
2015-05-17,34.09,2.77,2271.0,152.0,36.45,0.89,2144.0,77.0,
2015-05-18,34.18,2.8,2272.0,152.0,36.58,0.88,2144.0,77.0,
2015-05-19,34.09,2.83,2273.0,152.0,36.53,0.87,2145.0,78.0,
2015-05-20,34.24,2.86,2274.0,152.0,36.71,0.86,2146.0,78.0,
2015-05-21,34.15,2.9,2275.0,152.0,36.66,0.86,2147.0,78.0,
2015-05-22,34.27,2.93,2276.0,152.0,36.82,0.85,2147.0,79.0,
2015-05-23,34.17,2.96,2276.0,152.0,36.75,0.84,2148.0,79.0,
2015-05-24,34.33,2.99,2277.0,153.0,36.95,0.83,2149.0,79.0,
2015-05-25,34.92,3.03,2278.0,153.0,37.58,0.82,2150.0,80.0,
2015-05-26,34.99,3.06,2279.0,153.0,37.68,0.81,2150.0,80.0,
2015-05-27,35.13,3.09,2280.0,153.0,37.86,0.8,2151.0,80.0,
2015-05-28,35.0,3.12,2281.0,153.0,37.77,0.79,2152.0,81.0,
2015-05-29,34.91,3.16,2282.0,153.0,37.72,0.77,2153.0,81.0,
2015-05-30,34.75,3.19,2283.0,153.0,37.59,0.76,2154.0,81.0,
2015-05-31,34.5,3.22,2283.0,153.0,37.38,0.75,2154.0,82.0,
2015-06-01,34.32,3.25,2284.0,153.0,37.24,0.74,2155.0,82.0,
2015-06-02,34.08,3.29,2285.0,154.0,37.04,0.73,2156.0,82.0,
2015-06-03,34.05,3.32,2286.0,154.0,37.05,0.72,2157.0,83.0,
2015-06-04,34.01,3.35,2287.0,154.0,37.05,0.7,2158.0,83.0,
