date,fm,sp,surplus,pressure,required_control,control_stock,control_exerted,control_shortfall,surplus_30,required_30,stock_30,shortfall_30
2011-06-24,86.46,95.09209620477591,-1028.0,474.7652912626756,1002.7652912626756,160.11200254088234,160.11200254088234,842.6532887217933,-1124.3333333333333,981.7654418797936,152.89604452095836,832.0237066292681
2011-06-25,86.16,94.88808684551049,-294.0,480.04477650307695,274.04477650307695,154.88736198188823,154.88736198188823,119.15741452118871,-1094.0666666666666,960.7121760099673,150.55644324710076,813.3100420332994
2011-06-26,86.08,94.68690986392512,-740.0,473.3800425158819,713.3800425158819,150.81214234587281,150.81214234587281,562.5679001700091,-1086.8333333333333,962.016029523493,148.73155425349188,816.4387845404341
2011-06-27,85.86,94.485302964005,-864.0,474.3916630202751,838.391663020275,147.6334710297808,147.6334710297808,690.7581919904942,-1067.9333333333334,951.3686537561805,147.3081408384769,807.2148221881365
2011-06-28,85.61,94.2825907641515,-822.0,476.99249202833215,798.9924920283322,145.15410740322903,145.15410740322903,653.8383846251031,-1044.8,936.0307354662403,146.19787837476522,792.9871663619081
2011-06-29,85.38,94.07925531008128,-1294.0,478.4590420544706,1272.4590420544705,143.22020377451864,143.22020377451864,1129.2388382799518,-1043.2333333333333,941.7231443288817,145.33187365307015,799.5455799462446
2011-06-30,85.0,93.87188483220548,-470.0,487.9536657713015,457.9536657713015,141.71175894412454,141.71175894412454,316.24190682717693,-1023.9,929.483089010629,144.65638997014793,787.9810083109138
2011-07-01,84.87,93.66628149848663,-907.0,483.7954824167642,890.7954824167641,140.53517197641713,140.53517197641713,750.260310440347,-1017.9333333333333,930.1431414751115,144.12951269746867,789.1679380480759
2011-07-02,84.61,93.45943574319284,-1191.0,486.71896587560633,1177.7189658756063,139.61743414160537,139.61743414160537,1038.101531734001,-1044.3666666666666,962.962266468355,143.71854842477882,822.3980273140091
2011-07-03,84.26,93.2493203404312,-1036.0,494.4126187237156,1030.4126187237157,138.90159863045218,138.90159863045218,891.5110200932635,-1048.3333333333333,973.5809088985369,143.39799629208073,833.3372218768891
2011-07-04,83.96,93.03715197063134,-715.0,499.24335838472416,714.2433583847242,138.34324693175267,138.34324693175267,575.9001114529715,-1038.9,970.7013637905693,143.1479656285762,830.707707432426
2011-07-05,83.75,92.82503312646617,-1329.0,499.1268219556392,1328.1268219556391,137.90773260676707,137.90773260676707,1190.219089348872,-1050.7666666666667,988.8288131572887,142.95294171104268,849.0301807166791
