date,start_time,duration_min,distance_m,kph,hr_mean,hr_median,hr_max,hr_samples,hr_resid_all,hr_resid_2021p,datauuid
2021-05-11,2021-05-11 20:37:00.860000,20.27,1439.8,4.262,110.73,108.00,127,45,-2.98,4.14,51226cab-fae5-91c1-211c-ece1aaf51fe2
2021-05-11,2021-05-11 21:01:27.510000,19.53,1413.4,4.341,113.26,115.00,127,91,-1.00,6.20,9796d09a-a704-3049-88a0-014f9049df0f
2021-05-13,2021-05-13 18:53:21.980000,21.02,1361.8,3.887,92.19,92.50,105,48,-18.94,-12.20,10e1f561-35a1-eed5-b1de-0b82eff5f0d3
2021-05-15,2021-05-15 02:37:20.880000,16.24,1073.6,3.967,118.75,123.00,138,55,7.06,13.89,bb15ddca-e919-a839-acc7-233714e600f0
2021-05-18,2021-05-18 18:15:06.260000,32.35,2389.7,4.433,111.36,112.00,126,166,-3.54,3.76,aaf083c7-f86b-bf15-d760-21f0ad59fc50
2021-05-19,2021-05-19 17:35:55.690000,40.75,3051.7,4.494,106.91,107.00,121,193,-8.41,-1.05,d08537ca-4482-ebb9-18b8-9b2aed840785
2021-05-20,2021-05-20 18:36:41.700000,18.82,1430.7,4.560,108.55,109.00,123,55,-7.23,0.19,6c7faebd-f80e-d6b6-e448-a3165add1120
2021-05-21,2021-05-21 22:46:23.440000,18.31,1345.6,4.409,137.03,141.00,162,68,22.30,29.57,ce6d7c05-44d5-59e1-1666-a9f2cd619148
2021-05-26,2021-05-26 17:55:03.370000,32.53,2513.3,4.636,115.38,114.00,143,157,-0.93,6.57,96f3afa3-19ed-2eeb-681b-0a1b65e33ef6
2021-06-20,2021-06-20 20:28:28.870000,39.69,2979.0,4.503,112.12,112.00,129,224,-3.26,4.10,0fb52c0a-9de9-43e3-823a-4280f17d4b0c
2021-06-29,2021-06-29 20:14:19.670000,41.15,2934.3,4.279,104.52,103.00,129,226,-9.32,-2.18,e45287a5-7ee0-49d2-f1b9-be01d36dca56
2021-07-05,2021-07-05 21:25:23.190000,36.39,2839.1,4.682,126.08,123.50,165,130,9.47,17.01,01918ed7-daa1-0353-2208-a58385beb957
2022-02-11,2022-02-11 20:40:56.569000,48.85,4014.7,4.931,115.77,115.00,135,261,-2.57,5.23,6b30e506-b9de-4ebc-8bdb-878c05183012
2022-03-03,2022-03-03 20:02:04.430000,87.67,5863.9,4.013,105.07,110.00,128,518,-6.94,-0.07,34ae210d-67bf-4d66-adcf-6fb1d51e4a70
2022-03-04,2022-03-04 23:41:23.613000,16.43,1163.0,4.247,117.09,115.00,146,95,3.47,10.58,6face1cb-ff36-4be6-9e1e-016ce2f9dd44
2022-03-05,2022-03-05 00:17:02.058000,15.79,1009.9,3.836,111.68,113.00,128,98,0.90,7.59,eba60c4f-24cd-40cd-853e-eaecda94f5fe
2022-03-06,2022-03-06 19:47:19.737000,95.55,5815.6,3.652,105.70,112.00,136,500,-3.81,2.69,0330ca95-438b-4862-9019-8a14554f1c90
2022-03-22,2022-03-22 19:21:04.182000,35.84,2732.6,4.574,111.05,111.00,124,216,-4.83,2.61,83542809-0aa4-45ef-9345-e6e0b6539359
2022-03-30,2022-03-30 18:20:30.763000,39.33,2835.9,4.327,99.49,96.00,117,177,-14.68,-7.49,0441e0cc-6c0a-4aed-ba75-f5231c6005be
2022-03-30,2022-03-30 19:16:10.071000,39.05,2800.6,4.303,108.86,109.00,132,229,-5.14,2.02,4abfd526-f697-4a62-8f9d-bc43293925cd
2022-03-31,2022-03-31 16:45:43.463000,40.68,2983.5,4.400,108.77,111.00,125,236,-5.91,1.35,855af96e-49a3-4c24-8de4-62d2ab1377b2
