date,fm,surplus,sp,pressure,suppression,load,score,future_event
2012-12-23,30.82,-33.0,77.1847507549582,2550.061291522701,2583.061291522701,7392116.841059641,1.2651099286251388,1.0
2012-12-24,30.81,1678.0,77.13837600420324,2548.060680231178,870.0606802311781,7352412.8165173745,1.2516934732934226,1.0
2012-12-25,31.29,1399.0,77.09252762819904,2519.139019550947,1120.139019550947,7317653.603439315,1.2399479277220677,1.0
2012-12-26,31.69,1809.0,77.04712510057084,2494.641880531396,685.641880531396,7274634.689928176,1.2254113325482776,0.0
2012-12-27,32.21,-282.0,77.00228797547027,2463.5758386508646,2745.5758386508646,7270716.569087617,1.2240873535852468,0.0
2012-12-28,32.13,-135.0,76.9574156874948,2465.507862812214,2600.507862812214,7264125.170259009,1.2218600426519834,0.0
2012-12-29,32.09,-269.0,76.91254827180731,2465.240154949402,2734.240154949402,7260108.33957548,1.2205027084758655,0.0
2012-12-30,32.02,-394.0,76.8676557235355,2466.6210647944526,2860.6210647944526,7258542.932482277,1.2199737390682543,0.0
2012-12-31,31.9,-921.0,76.82268806781197,2470.747843729658,3391.747843729658,7267147.990343082,1.2228814889940438,0.0
2013-01-01,31.64,-1345.0,76.77750537974416,2482.5627958859286,3827.5627958859286,7284295.16091359,1.2286757189411779,0.0
2013-01-02,31.26,-869.0,76.7319878743644,2500.959333090042,3369.959333090042,7293070.732826487,1.2316410875640567,0.0
2013-01-03,31.01,-377.0,76.68626588649005,2512.1946237569523,2889.1946237569523,7292803.349999882,1.2315507357724946,0.0
2013-01-04,30.9,-368.0,76.64047962060356,2515.7263791331957,2883.7263791331957,7292510.762207546,1.2314518669275416,0.0
2013-01-05,30.79,-1045.0,76.59462914098296,2519.254602754063,3564.254602754063,7305451.629929305,1.235824737832802,0.0
2013-01-06,30.49,-525.0,76.54852451184198,2533.218848151309,3058.218848151309,7308840.268640706,1.2369697985774235,0.0
2013-01-07,30.34,-240.0,76.50231598733014,2538.927379303157,2778.927379303157,7306896.588655761,1.236313006325308,0.0
2013-01-08,30.27,-388.0,76.45608367134281,2540.234601923855,2928.234601923855,7307905.511823675,1.2366539332910627,0.0
2013-01-09,30.16,-1096.0,76.40978758767147,2543.7383173219314,3639.7383173219314,7322870.898422913,1.2417109128578772,0.0
2013-01-10,29.84,-1276.0,76.3632178000838,2558.776979004609,3834.776979004609,7341970.2318853075,1.2481648015308247,1.0
2013-01-11,29.48,-300.0,76.31633458228372,2575.9984020256043,2875.9984020256043,7342481.168077369,1.2483374528596807,1.0
2013-01-12,29.39,-654.0,76.26940824770143,2578.367453623579,3232.367453623579,7350089.926392891,1.2509085414897856,1.0
2013-01-13,29.2,-973.0,76.22233883945373,2586.228636169955,3559.228636169955,7364320.735207131,1.2557172986118046,1.0
2013-01-14,28.92,-785.0,76.17503650061427,2599.027007533785,3384.027007533785,7375298.345862618,1.2594267619396726,1.0
2013-01-15,28.7,-616.0,76.12756146411365,2608.515880526251,3224.515880526251,7383245.845781321,1.2621123153284628,1.0
2013-01-16,28.52,-265.0,76.07995390264954,2615.7974646457246,2880.7974646457246,7384414.582345075,1.2625072451141186,1.0
2013-01-17,28.45,-373.0,76.03232394874689,2617.0278171810787,2990.0278171810787,7387794.669719278,1.263649416261656,1.0
2013-01-18,28.34,-486.0,75.98463162479814,2620.4547393638977,3106.4547393638977,7393568.115520431,1.2656003312783137,1.0
2013-01-19,28.2,-214.0,75.93684699317335,2625.526584624534,2839.526584624534,7394041.361706633,1.2657602467123608,1.0
2013-01-20,28.14,-451.0,75.88905014618017,2626.1977580399093,3077.1977580399093,7399314.275946306,1.2675420262468065,1.0
2013-01-21,28.01,-362.0,75.84117109603399,2630.7144102818693,2992.7144102818693,7402948.241242981,1.2687699857204848,1.0
2013-01-22,27.91,187.0,75.79323992493795,2633.5781958715875,2446.5781958715875,7395585.4230571175,1.2662820031432773,1.0
2013-01-23,27.97,-24.0,75.74541668501301,2627.6479176757157,2651.6479176757157,7392301.873868503,1.2651724533803397,1.0
2013-01-24,27.96,978.0,75.697631268328,2625.56971975804,1647.5697197580398,7368775.577040085,1.2572226418899919,1.0
2013-01-25,28.24,759.0,75.65017363705967,2607.559550038282,1848.559550038282,7349222.991582189,1.2506155940544212,1.0
2013-01-26,28.46,1408.0,75.6029834634226,2592.864090488243,1184.8640904882432,7316409.376545212,1.2395274888688357,1.0
2013-01-27,28.86,884.0,75.55624047995919,2568.2932263977555,1684.2932263977555,7293464.945262446,1.2317742965674063,1.0
2013-01-28,29.11,918.0,75.50979423947922,2551.988683171357,1633.988683171357,7269500.945409437,1.2236765800939822,1.0
2013-01-29,29.38,870.0,75.46366444523974,2534.601544488186,1664.601544488186,7246098.118061951,1.2157684903886385,0.0
2013-01-30,29.63,-434.0,75.4178307807945,2518.330692943698,2952.330692943698,7247546.961486413,1.21625807156614,0.0
2013-01-31,29.5,-544.0,75.37191295001371,2522.955212250754,3066.955212250754,7251308.137320619,1.2175290169717028,0.0
2013-02-01,29.35,-639.0,75.3258910370637,2528.6740070385035,3167.6740070385035,7257128.97656153,1.2194959467872344,0.0
2013-02-02,29.17,-440.0,75.27973514602664,2536.035433031465,2976.035433031465,7259355.424443903,1.220248289626698,0.0
2013-02-03,29.04,-344.0,75.23349541088061,2540.6422475984336,2884.6422475984336,7259888.544249313,1.2204284370585563,0.0
