date,fat_mass_lbs_filtered,fat_mass_std_filtered,tdee_filtered,tdee_std_filtered,fat_mass_lbs,fat_mass_std,tdee,tdee_std,innovation
2024-10-21,84.67,0.33,2356.0,72.0,84.88,0.21,2317.0,46.0,0.836
2024-10-22,84.74,0.35,2356.0,73.0,84.98,0.21,2316.0,46.0,
2024-10-23,84.75,0.34,2354.0,73.0,84.98,0.2,2315.0,46.0,0.161
2024-10-24,84.57,0.34,2355.0,72.0,84.83,0.2,2314.0,46.0,-0.124
2024-10-25,84.5,0.34,2360.0,72.0,84.83,0.2,2314.0,46.0,-0.439
2024-10-26,84.38,0.33,2359.0,72.0,84.73,0.2,2313.0,46.0,0.087
2024-10-27,84.39,0.33,2338.0,72.0,84.58,0.2,2313.0,46.0,1.681
2024-10-28,84.44,0.33,2332.0,72.0,84.6,0.2,2313.0,46.0,0.451
2024-10-29,84.3,0.33,2328.0,72.0,84.43,0.2,2313.0,46.0,0.332
2024-10-30,84.18,0.32,2319.0,72.0,84.24,0.2,2312.0,46.0,0.757
2024-10-31,83.88,0.32,2315.0,72.0,83.91,0.2,2312.0,46.0,0.245
2024-11-01,83.77,0.32,2311.0,72.0,83.77,0.2,2312.0,46.0,0.357
2024-11-02,83.73,0.32,2296.0,72.0,83.6,0.2,2312.0,46.0,1.253
2024-11-03,83.69,0.32,2292.0,72.0,83.51,0.2,2312.0,46.0,0.384
2024-11-04,83.57,0.32,2286.0,72.0,83.32,0.2,2312.0,46.0,0.444
2024-11-05,83.53,0.32,2286.0,72.0,83.26,0.2,2312.0,46.0,0.025
2024-11-06,83.29,0.32,2296.0,72.0,83.1,0.2,2311.0,46.0,-0.894
2024-11-07,83.12,0.32,2291.0,72.0,82.86,0.2,2310.0,46.0,0.423
2024-11-08,82.98,0.32,2287.0,72.0,82.68,0.21,2310.0,46.0,0.326
2024-11-09,82.88,0.32,2293.0,72.0,82.61,0.21,2309.0,46.0,-0.503
2024-11-10,82.72,0.32,2303.0,72.0,82.51,0.21,2308.0,46.0,-0.839
