date,fm,surplus,sp,pressure,required_control,control_stock,control_exerted,control_shortfall,surplus_pred_no_control,surplus_pred_with_control
2016-02-05,41.79,-712.0,43.64340015294075,101.93700841174127,413.93700841174126,313.5927447163062,313.5927447163062,100.34426369543507,-298.06299158825874,-611.6557363045649
2016-02-06,41.58,-722.0,43.60795217335159,111.53736953433764,433.53736953433764,205.8837919354576,205.8837919354576,227.65357759888005,-288.46263046566236,-494.34642240112
2016-02-07,41.37,-671.0,43.569505494529054,120.97280219909808,391.97280219909806,143.4125993225654,143.4125993225654,248.56020287653266,-279.02719780090194,-422.4397971234673
2016-02-08,41.18,-780.0,43.52845522036021,129.16503711981142,509.1650371198114,107.17930760708794,107.17930760708794,401.9857295127235,-270.8349628801886,-378.0142704872765
2016-02-09,40.95,-534.0,43.48415890299655,139.37873966480996,273.3787396648099,86.163998412111,86.163998412111,187.21474125269893,-260.6212603351901,-346.7852587473011
2016-02-10,40.8,-926.0,43.438046659633635,145.09256627985008,671.0925662798501,73.97511907902438,73.97511907902438,597.1174472008257,-254.90743372014992,-328.8825527991743
2016-02-11,40.53,-841.0,43.38808815861865,157.19484872402572,598.1948487240257,66.90556906583414,66.90556906583414,531.2892796581916,-242.80515127597428,-309.71072034180844
2016-02-12,40.28,-738.0,43.334693064384986,168.00811854117416,506.00811854117416,62.80523005818381,62.80523005818381,443.2028884829904,-231.99188145882584,-294.7971115170096
2016-02-13,40.07,-822.0,43.27860759160538,176.47341753829582,598.4734175382958,60.427033433746615,60.427033433746615,538.0463841045492,-223.52658246170418,-283.9536158954508
2016-02-14,39.83,-756.0,43.21936257732929,186.41494175311118,542.4149417531112,59.04767939157304,59.04767939157304,483.3672623615381,-213.58505824688882,-272.6327376384619
2016-02-15,39.61,-711.0,43.1573558886176,195.10457387396812,506.1045738739681,58.24765404711237,58.24765404711237,447.85691982685574,-204.89542612603188,-263.14308017314426
2016-02-16,39.41,-464.0,43.092978557413225,202.56382065772758,266.56382065772755,57.78363934732518,57.78363934732518,208.78018131040238,-197.43617934227242,-255.21981868959762
2016-02-17,39.27,-848.0,43.02730207402253,206.65161407123892,654.6516140712389,57.51451082144861,57.51451082144861,597.1371032497902,-193.34838592876108,-250.8628967502097
2016-02-18,39.03,-699.0,42.958630816957,216.0746949326348,515.0746949326348,57.358416276440195,57.358416276440195,457.71627865619456,-183.9253050673652,-241.28372134380538
2016-02-19,38.83,-858.0,42.887703410694044,223.17368758817253,681.1736875881725,57.2678814403353,57.2678814403353,623.9058061478372,-176.82631241182747,-234.0941938521628
2016-02-20,38.58,-755.0,42.81369964445374,232.8534804449559,587.853480444956,57.21537123539447,57.21537123539447,530.6381092095614,-167.1465195550441,-224.36189079043857
2016-02-21,38.37,-725.0,42.73735954431734,240.204774937454,565.204774937454,57.18491531652879,57.18491531652879,508.0198596209252,-159.795225062546,-216.98014037907478
2016-02-22,38.16,-878.0,42.65872324710279,247.42977859065374,725.4297785906538,57.16725088358669,57.16725088358669,668.2625277070671,-152.57022140934626,-209.73747229293295
2016-02-23,37.91,-450.0,42.577143024043316,256.6928663223826,306.6928663223826,57.15700551248028,57.15700551248028,249.53586080990232,-143.3071336776174,-200.46413919009768
2016-02-24,37.78,-792.0,42.49473097819743,259.31020380085863,651.3102038008586,57.151063197238564,57.151063197238564,594.15914060362,-140.68979619914137,-197.84085939637993
2016-02-25,37.55,-740.0,42.40978345963725,267.2880902800487,607.2880902800487,57.14761665439837,57.14761665439837,550.1404736256503,-132.71190971995128,-189.85952637434966
2016-02-26,37.34,-785.0,42.32268761429549,274.0478187862517,659.0478187862517,57.14561765955105,57.14561765955105,601.9022011267007,-125.9521812137483,-183.09779887329935
2016-02-27,37.12,-545.0,42.23330855512586,281.2319705319224,426.2319705319224,57.144458242539606,57.144458242539606,369.0875122893828,-118.7680294680776,-175.9124877106172
