family,sp_params,baseline,suppress_thresh,require_positive_pressure,min_run,n_expr,expr_frac,slope,intercept,corr,rmse_expr,score,trial_mean_abs_err,SURMOUNT-4_mid,STEP-1 extension_mid,STEP-4_mid
HoldMean,"tol=3,hold=42,rate=0.0075",-100,200,False,7,493,0.2367915465898175,0.5522810622787605,522.6595387217926,0.17247589841611463,642.7058670725064,-2.5808214431541403,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-300,50,True,7,58,0.027857829010566763,0.633186083880117,451.0235034798674,0.06677467233850763,588.5235894368683,-2.5892545253224,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=2.5,hold=28,rate=0.0075",-300,0,True,3,143,0.0686839577329491,1.5460434652488055,325.1266585898335,0.36468496676514456,569.8975795462562,-2.5916402011449895,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",-200,100,True,3,143,0.0686839577329491,1.5460434652488055,325.1266585898335,0.36468496676514456,569.8975795462562,-2.5916402011449895,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",-100,200,True,3,143,0.0686839577329491,1.5460434652488055,325.1266585898335,0.36468496676514456,569.8975795462562,-2.5916402011449895,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=3,hold=42,rate=0.0075",-300,50,True,3,155,0.074447646493756,1.6514179932419242,283.2996317550204,0.4162739729474735,550.1960755178956,-2.5917355308959142,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=2.5,hold=28,rate=0.0075",0,50,True,3,65,0.03121998078770413,1.7737687642377042,434.9943172595594,0.5587667492412938,438.7366286530741,-2.592554987490327,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=3,hold=42,rate=0.0075",-300,0,True,3,140,0.06724303554274735,1.6508923273727154,316.6025924251891,0.42269465285489255,556.3159689881483,-2.59335272833675,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-200,100,True,3,140,0.06724303554274735,1.6508923273727154,316.6025924251891,0.42269465285489255,556.3159689881483,-2.59335272833675,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-100,200,True,3,140,0.06724303554274735,1.6508923273727154,316.6025924251891,0.42269465285489255,556.3159689881483,-2.59335272833675,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-300,0,False,1,974,0.4678194044188281,0.4944301605456127,398.80650366293565,0.25727968681371244,596.2139819741046,-2.599286716487518,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-200,100,False,1,974,0.4678194044188281,0.4944301605456127,398.80650366293565,0.25727968681371244,596.2139819741046,-2.599286716487518,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-100,200,False,1,974,0.4678194044188281,0.4944301605456127,398.80650366293565,0.25727968681371244,596.2139819741046,-2.599286716487518,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-300,50,False,3,761,0.3655139289145053,0.5236891530505781,431.88685326373695,0.20192127801569962,635.0019685981499,-2.6028075827149024,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=2.5,hold=28,rate=0.0075",-300,0,False,7,492,0.23631123919308358,0.5678506573867395,521.7633280388534,0.1677174860742614,642.3820123836155,-2.6048074799666687,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",-200,100,False,7,492,0.23631123919308358,0.5678506573867395,521.7633280388534,0.1677174860742614,642.3820123836155,-2.6048074799666687,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",-100,200,False,7,492,0.23631123919308358,0.5678506573867395,521.7633280388534,0.1677174860742614,642.3820123836155,-2.6048074799666687,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
