date,year,walk_regime,first_start,first_duration_min,second_duration_min,break_min,regime_duration_min,regime_distance_m,regime_steps,source_types
2022-03-22,2022,paired_daylight_walk,2022-03-22 14:15:43,36.12,35.84,29.23,71.96,5343.09,7040.0,"4.0,7.0"
2022-03-23,2022,single_daylight_walk,2022-03-23 18:46:31,25.63,,,25.63,1491.18,2045.0,4.0
2022-03-24,2022,paired_daylight_walk,2022-03-24 15:32:33,37.04,29.88,13.95,66.92,4644.53,6443.0,4.0
2022-03-30,2022,paired_daylight_walk,2022-03-30 14:20:30,39.33,39.05,16.17,78.38,5636.52,6941.0,7.0
2022-03-31,2022,paired_daylight_walk,2022-03-31 12:45:43,40.68,30.51,14.73,71.19,5673.28,6943.0,7.0
2022-04-07,2022,single_daylight_walk,2022-04-07 15:33:01,36.0,,,36.0,2435.43,3568.0,4.0
2022-04-20,2022,paired_daylight_walk,2022-04-20 17:42:20,28.76,37.83,8.98,66.59,5383.22,6928.0,4.0
2022-04-28,2022,borderline_paired_daylight_walk,2022-04-28 14:54:46,34.75,16.71,5.78,51.46,3755.83,5046.0,4.0
2022-04-30,2022,paired_daylight_walk,2022-04-30 12:55:50,22.32,24.5,31.75,46.82,2708.62,4070.0,4.0
2022-05-01,2022,borderline_paired_daylight_walk,2022-05-01 16:50:43,33.73,13.08,27.23,46.81,2606.47,3677.0,"4.0,7.0"
2022-05-03,2022,single_daylight_walk,2022-05-03 14:41:39,36.56,,,36.56,2370.36,3583.0,4.0
2022-05-05,2022,single_daylight_walk,2022-05-05 16:25:09,37.03,,,37.03,2772.62,3617.0,4.0
2022-05-09,2022,single_daylight_walk,2022-05-09 18:20:07,26.52,,,26.52,1221.69,2561.0,4.0
2022-05-11,2022,borderline_paired_daylight_walk,2022-05-11 15:29:31,22.42,19.33,6.48,41.75,3097.3,4051.0,4.0
2022-05-12,2022,paired_daylight_walk,2022-05-12 14:53:20,22.86,21.02,22.05,43.88,3094.65,4037.0,4.0
2022-05-13,2022,single_daylight_walk,2022-05-13 15:44:58,24.88,,,24.88,1548.56,1984.0,4.0
2022-05-14,2022,single_daylight_walk,2022-05-14 15:37:20,21.06,,,21.06,1062.44,1581.0,4.0
2022-05-18,2022,paired_daylight_walk,2022-05-18 14:59:11,34.57,25.63,7.43,60.2,4505.78,5934.0,4.0
2022-05-20,2022,paired_daylight_walk,2022-05-20 16:15:21,39.91,32.78,32.0,72.69,3283.23,6727.0,4.0
2022-05-24,2022,borderline_paired_daylight_walk,2022-05-24 15:25:53,25.58,16.65,57.83,42.23,2498.69,3613.0,4.0
2022-06-01,2022,paired_daylight_walk,2022-06-01 17:10:19,33.79,35.23,17.98,69.02,5020.17,6089.0,4.0
2022-06-04,2022,borderline_paired_daylight_walk,2022-06-04 14:20:04,20.6,16.29,51.57,36.89,2505.14,3403.0,4.0
2022-06-05,2022,single_daylight_walk,2022-06-05 16:09:53,36.94,,,36.94,2243.87,2996.0,4.0
2022-06-07,2022,borderline_paired_daylight_walk,2022-06-07 16:06:49,20.78,17.49,3.77,38.27,2727.9,3566.0,4.0
2022-06-10,2022,paired_daylight_walk,2022-06-10 16:47:04,37.19,35.53,11.63,72.72,5352.87,7144.0,7.0
2022-06-14,2022,paired_daylight_walk,2022-06-14 14:26:46,35.45,35.95,14.58,71.4,5389.86,6936.0,7.0
2022-06-17,2022,borderline_paired_daylight_walk,2022-06-17 16:00:05,40.64,32.35,4.0,72.99,5312.41,6821.0,7.0
2022-06-22,2022,paired_daylight_walk,2022-06-22 15:14:16,38.46,43.01,20.85,81.47,4740.29,6783.0,"4.0,7.0"
2022-06-29,2022,paired_daylight_walk,2022-06-29 16:09:18,44.03,40.05,21.8,84.08,6184.42,8143.0,"4.0,7.0"
2022-07-05,2022,single_daylight_walk,2022-07-05 14:07:59,20.54,,,20.54,1431.72,1938.0,4.0
2022-07-15,2022,paired_daylight_walk,2022-07-15 14:47:42,31.97,39.63,12.75,71.6,4979.24,6703.0,4.0
2022-07-19,2022,paired_daylight_walk,2022-07-19 16:28:04,39.08,21.74,16.0,60.82,3927.4,5653.0,4.0
2022-07-29,2022,single_daylight_walk,2022-07-29 12:55:34,21.14,,,21.14,1430.81,1532.0,7.0
2022-08-04,2022,single_daylight_walk,2022-08-04 14:39:16,25.06,,,25.06,1977.16,2524.0,7.0
2022-08-07,2022,single_daylight_walk,2022-08-07 16:54:52,37.3,,,37.3,2727.09,3224.0,7.0
2022-08-26,2022,single_daylight_walk,2022-08-26 15:55:02,34.98,,,34.98,3097.6,3534.0,7.0
2022-08-27,2022,paired_daylight_walk,2022-08-27 15:44:09,21.54,31.85,39.53,53.39,4037.03,5080.0,"4.0,7.0"
2022-08-31,2022,single_daylight_walk,2022-08-31 15:47:50,40.51,,,40.51,3037.82,3692.0,7.0
2022-09-01,2022,single_daylight_walk,2022-09-01 14:10:41,32.53,,,32.53,2716.14,3382.0,7.0
2022-09-07,2022,paired_daylight_walk,2022-09-07 15:13:18,34.54,35.05,18.18,69.59,5450.06,6952.0,4.0
2022-09-08,2022,paired_daylight_walk,2022-09-08 14:26:12,34.98,20.93,15.33,55.91,4351.52,5501.0,4.0
2022-09-16,2022,paired_daylight_walk,2022-09-16 17:53:54,32.69,32.83,7.97,65.52,5589.89,6723.0,7.0
2022-10-07,2022,single_daylight_walk,2022-10-07 15:55:11,32.66,,,32.66,2942.39,3316.0,7.0
2022-10-12,2022,single_daylight_walk,2022-10-12 16:20:32,20.45,,,20.45,1326.89,1694.0,4.0
2022-10-24,2022,borderline_paired_daylight_walk,2022-10-24 14:24:31,35.77,11.89,13.37,47.66,2617.0,3521.0,4.0
2022-11-06,2022,borderline_paired_daylight_walk,2022-11-06 12:35:06,33.96,13.03,68.98,46.99,3033.51,4048.0,4.0
2022-11-14,2022,single_daylight_walk,2022-11-14 13:40:58,21.45,,,21.45,906.54,1165.0,4.0
2022-11-17,2022,single_daylight_walk,2022-11-17 18:41:54,23.08,,,23.08,1443.96,1963.0,4.0
2022-12-05,2022,single_daylight_walk,2022-12-05 15:14:45,23.28,,,23.28,908.6,1224.0,4.0
2022-12-18,2022,single_daylight_walk,2022-12-18 13:57:30,27.04,,,27.04,1419.71,1914.0,4.0
2023-01-01,2023,paired_daylight_walk,2023-01-01 15:21:26,34.69,34.09,12.83,68.78,5778.53,7025.0,"4.0,7.0"
2023-01-03,2023,paired_daylight_walk,2023-01-03 12:06:15,34.28,32.82,13.83,67.1,5615.53,6808.0,4.0
2023-01-04,2023,paired_daylight_walk,2023-01-04 15:18:31,34.32,32.99,9.07,67.31,5746.91,6630.0,"4.0,7.0"
2023-01-06,2023,paired_daylight_walk,2023-01-06 17:05:40,34.11,34.23,20.35,68.34,5777.82,6952.0,4.0
2023-01-08,2023,single_daylight_walk,2023-01-08 18:36:22,38.28,,,38.28,3089.7,3704.0,4.0
