half_life_days,surplus_window_days,r,abs_r,n
40,105,-0.9003282198632941,0.9003282198632941,3548
100,155,-0.9000569535105013,0.9000569535105013,3498
80,155,-0.8999606990277046,0.8999606990277046,3498
55,70,-0.8999108408946536,0.8999108408946536,3583
100,140,-0.8997412512731149,0.8997412512731149,3513
25,30,-0.899669016582801,0.899669016582801,3623
55,130,-0.8996646892828238,0.8996646892828238,3523
90,120,-0.8994858835864431,0.8994858835864431,3533
95,160,-0.8988853206424221,0.8988853206424221,3493
75,95,-0.8988192055319455,0.8988192055319455,3558
90,160,-0.8987539937951542,0.8987539937951542,3493
100,135,-0.8984700550894723,0.8984700550894723,3518
85,110,-0.8982931795803282,0.8982931795803282,3543
105,150,-0.898257489133726,0.898257489133726,3503
100,160,-0.8981944827089995,0.8981944827089995,3493
105,155,-0.8981274892289491,0.8981274892289491,3498
95,125,-0.8978449059806829,0.8978449059806829,3528
60,75,-0.8977349364389212,0.8977349364389212,3578
25,75,-0.8977312472521557,0.8977312472521557,3578
45,115,-0.8977221018824583,0.8977221018824583,3538
85,160,-0.8976144029846727,0.8976144029846727,3493
70,150,-0.8974817425456086,0.8974817425456086,3503
105,145,-0.8973697541193965,0.8973697541193965,3508
75,155,-0.8969569648484833,0.8969569648484833,3498
45,55,-0.8968375143927495,0.8968375143927495,3598
105,160,-0.8968333213060098,0.8968333213060098,3493
65,145,-0.8967588969000939,0.8967588969000939,3508
80,100,-0.8963708655362136,0.8963708655362136,3553
100,130,-0.8963002844889321,0.8963002844889321,3523
90,115,-0.8962255276637943,0.8962255276637943,3538
105,140,-0.8961642296108867,0.8961642296108867,3513
65,80,-0.895900892232385,0.895900892232385,3573
15,50,-0.8958922748624746,0.8958922748624746,3603
50,125,-0.895887601806939,0.895887601806939,3528
110,155,-0.8957000263707939,0.8957000263707939,3498
60,140,-0.8955479706540126,0.8955479706540126,3513
95,165,-0.8953691460006147,0.8953691460006147,3488
110,150,-0.8953235897461487,0.8953235897461487,3503
100,165,-0.8953052143564963,0.8953052143564963,3488
80,160,-0.8952380922925953,0.8952380922925953,3493
110,160,-0.8949259474960799,0.8949259474960799,3493
30,35,-0.8946530569662676,0.8946530569662676,3618
90,165,-0.8945531113876786,0.8945531113876786,3488
105,165,-0.8945182709865376,0.8945182709865376,3488
105,135,-0.8943387693569865,0.8943387693569865,3518
95,120,-0.8942895641187127,0.8942895641187127,3533
85,105,-0.8940783068972636,0.8940783068972636,3548
70,85,-0.8940302020215058,0.8940302020215058,3568
110,145,-0.8939402531082616,0.8939402531082616,3508
55,135,-0.8932875448675384,0.8932875448675384,3518
110,165,-0.8931372074772476,0.8931372074772476,3488
50,60,-0.8929853974015837,0.8929853974015837,3593
100,125,-0.8929092783873697,0.8929092783873697,3528
115,155,-0.8928716502323076,0.8928716502323076,3498
35,100,-0.892802203943131,0.892802203943131,3553
85,165,-0.8926656570133006,0.8926656570133006,3488
115,160,-0.8925740005232565,0.8925740005232565,3493
30,90,-0.8925555533056514,0.8925555533056514,3563
75,90,-0.8925162034604978,0.8925162034604978,3563
110,140,-0.8922328066800582,0.8922328066800582,3513
70,155,-0.8921710225682612,0.8921710225682612,3498
90,110,-0.8920573701998723,0.8920573701998723,3543
115,150,-0.8920318036897552,0.8920318036897552,3503
100,170,-0.8919082423702134,0.8919082423702134,3483
105,170,-0.8916889250303234,0.8916889250303234,3483
105,130,-0.8916179719498774,0.8916179719498774,3523
65,150,-0.8915319529334118,0.8915319529334118,3503
95,170,-0.8913539190064552,0.8913539190064552,3483
75,160,-0.8913442191607889,0.8913442191607889,3493
40,110,-0.8912698546619984,0.8912698546619984,3543
115,165,-0.8912680701042858,0.8912680701042858,3488
110,170,-0.8908292394462143,0.8908292394462143,3483
80,95,-0.8907797230403748,0.8907797230403748,3558
95,115,-0.8903609007193157,0.8903609007193157,3538
115,145,-0.8901952530419164,0.8901952530419164,3508
55,65,-0.8899605575965188,0.8899605575965188,3588
45,120,-0.8899191481412343,0.8899191481412343,3533
110,135,-0.8899037742870843,0.8899037742870843,3518
90,170,-0.8898643862259733,0.8898643862259733,3483
120,160,-0.8898608846435245,0.8898608846435245,3493
35,40,-0.8898283444518471,0.8898283444518471,3613
120,155,-0.889721629198902,0.889721629198902,3498
80,165,-0.8894729035254861,0.8894729035254861,3488
115,170,-0.8894393179385034,0.8894393179385034,3483
60,145,-0.8892820277500544,0.8892820277500544,3508
50,130,-0.889257659584165,0.889257659584165,3523
120,165,-0.8889982873311844,0.8889982873311844,3488
85,100,-0.8888796174047429,0.8888796174047429,3553
100,120,-0.8887653117659746,0.8887653117659746,3533
120,150,-0.8884572615701926,0.8884572615701926,3503
105,175,-0.888349249228462,0.888349249228462,3478
115,140,-0.8880299809678991,0.8880299809678991,3513
100,175,-0.8880098737414553,0.8880098737414553,3478
110,175,-0.8880039621491311,0.8880039621491311,3478
60,70,-0.8878589095311983,0.8878589095311983,3583
105,125,-0.8876883841941573,0.8876883841941573,3528
120,170,-0.887610354585811,0.887610354585811,3483
20,65,-0.8873078647831261,0.8873078647831261,3588
85,170,-0.8872434609671568,0.8872434609671568,3483
90,105,-0.8870899421616582,0.8870899421616582,3548
115,175,-0.8870878695788442,0.8870878695788442,3478
95,175,-0.8868486286933897,0.8868486286933897,3478
110,130,-0.8866836258073273,0.8866836258073273,3523
65,75,-0.8865395840256719,0.8865395840256719,3578
25,80,-0.8864389767229793,0.8864389767229793,3573
40,45,-0.8862779230945949,0.8862779230945949,3608
120,145,-0.8862057581228612,0.8862057581228612,3508
55,140,-0.8861353959448977,0.8861353959448977,3513
120,175,-0.8856956380131678,0.8856956380131678,3478
70,160,-0.8855871842587334,0.8855871842587334,3493
95,110,-0.8855238604320808,0.8855238604320808,3543
70,80,-0.8855028638087623,0.8855028638087623,3573
