com.samsung.shealth.sleep,6060029,2
com.samsung.health.sleep.datauuid,efficiency,original_efficiency,original_bed_time,has_sleep_data,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.end_time,com.samsung.health.sleep.custom,original_wake_up_time,quality,com.samsung.health.sleep.deviceuuid,extra_data,com.samsung.health.sleep.start_time,com.samsung.health.sleep.update_time,com.samsung.health.sleep.comment
4e1f66e9-789c-0d43-21b2-81bc88dd4bd5,94.565216,,,1,com.sec.android.app.shealth,1507071622609,UTC-0300,1507071600000,,,,PEzvKidhug,,1507066080000,1507071622609,
fa839d0b-cb06-4bf3-baae-52cd3cd8510d,0.0,,,,com.sec.android.app.shealth,1556981843722,UTC-0300,1556974800000,,,0,4V/TlqPcbG,,1556952600000,1556981843722,
3b3704dd-46b4-4af7-b38b-9fd91eddec6a,0.0,,,,com.sec.android.app.shealth,1562162584859,UTC-0300,1562155200000,,,0,4V/TlqPcbG,,1562125200000,1562162584859,
c9457fae-d504-7811-b996-ab9767f8a212,96.51163,,,1,com.sec.android.app.shealth,1508046739779,UTC-0300,1508045640000,,,,PEzvKidhug,,1508040480000,1508046739779,
a6156f4c-349e-9e49-fbf2-e1115b73dda9,97.391304,,,1,com.sec.android.app.shealth,1515898008490,UTC-0400,1515897120000,,,,PEzvKidhug,,1515890280000,1515898008490,
b1d53361-7e78-400e-a5c3-a876bd871459,0.0,,,,com.sec.android.app.shealth,1492027573917,UTC-0300,1492008600000,,,0,Q2GTsbBv8Q,,1491983400000,1492027573917,
66a6601f-fb58-4579-98df-1a65441b5474,0.0,,,,com.sec.android.app.shealth,1506467700366,UTC-0300,1505918400000,,,0,EHdtKydEi4,,1505889000000,1506467700366,
c285a35e-c919-5a6f-f529-a00b7c751cfd,93.44263,,,1,com.sec.android.app.shealth,1526069571658,UTC-0300,1526069160000,,,,PEzvKidhug,,1526065560000,1526069571658,
a6d03c9d-3dc8-424b-8e68-112d18326bd6,0.0,,,,com.sec.android.app.shealth,1561802799412,UTC+0400,1561792200000,,,0,4V/TlqPcbG,,1561768800000,1561802799412,
5f90a9ab-7c5d-44a8-a9bb-d7eced978539,0.0,,,,com.sec.android.app.shealth,1517027084375,UTC-0400,1516895400000,,,0,EHdtKydEi4,,1516868400000,1517027084375,
f0201b6b-024e-4a1e-b64f-adf1626160b9,0.0,,,,com.sec.android.app.shealth,1506467692352,UTC-0300,1506082800000,,,0,EHdtKydEi4,,1506060000000,1506467692352,
