com.samsung.health.step_count,6060029,6
create_time,distance,time_offset,custom,count,end_time,speed,deviceuuid,start_time,pkg_name,update_time,datauuid,calorie,sample_position_type
2019-08-23 00:35:01.208,26.48,UTC-0300,,45,2019-08-23 00:16:59.999,0.9444444,PEzvKidhug,2019-08-23 00:16:00.000,com.sec.android.app.shealth,2019-08-23 00:35:01.208,fcd11b28-5f56-bd89-569c-e7d35b446c75,1.88,230002
2019-08-23 00:35:01.219,54.87,UTC-0300,,91,2019-08-23 00:17:59.999,0.9166667,PEzvKidhug,2019-08-23 00:17:00.000,com.sec.android.app.shealth,2019-08-23 00:35:01.219,c999e2b0-5356-2f4f-0582-dda061042b1b,3.78,230002
2019-08-23 00:35:01.231,27.71,UTC-0300,,45,2019-08-23 00:18:59.999,1.0,PEzvKidhug,2019-08-23 00:18:00.000,com.sec.android.app.shealth,2019-08-23 00:35:01.232,c58107f1-ef1a-bc1c-005e-7cc88833f22a,1.86,230002
2019-08-23 00:42:28.497,27.32,UTC-0300,,42,2019-08-23 00:39:59.999,0.8888889,PEzvKidhug,2019-08-23 00:39:00.000,com.sec.android.app.shealth,2019-08-23 00:42:28.497,9e3892c7-b3bf-41ac-2b20-475a2266cb48,1.79,230002
2019-08-23 00:54:53.606,8.53,UTC-0300,,16,2019-08-23 00:53:59.999,0.7777778,PEzvKidhug,2019-08-23 00:53:00.000,com.sec.android.app.shealth,2019-08-23 00:54:53.606,4e6b6800-100a-6ca9-5e44-37db5b716399,0.64,230002
2019-08-23 00:58:18.526,9.87,UTC-0300,,20,2019-08-23 00:56:59.999,0.7222222,PEzvKidhug,2019-08-23 00:56:00.000,com.sec.android.app.shealth,2019-08-23 00:58:18.527,bbb08777-342d-3a71-e9e4-90035f2b1043,0.79,230002
2019-08-23 00:58:18.535,51.68,UTC-0300,,87,2019-08-23 00:57:59.999,0.9722222,PEzvKidhug,2019-08-23 00:57:00.000,com.sec.android.app.shealth,2019-08-23 00:58:18.535,70978d8a-e137-5d47-e448-6db6fa7a73ea,3.53,230002
2019-08-23 00:58:18.543,49.63,UTC-0300,,91,2019-08-23 00:58:59.999,0.8414441,PEzvKidhug,2019-08-23 00:58:00.000,com.sec.android.app.shealth,2019-08-23 01:03:06.501,b557047a-f0e0-6134-9b36-828c84670d80,3.59,230002
2019-08-23 01:03:06.509,44.79,UTC-0300,,79,2019-08-23 00:59:59.999,0.9166667,PEzvKidhug,2019-08-23 00:59:00.000,com.sec.android.app.shealth,2019-08-23 01:03:06.509,c1dcb753-ca3f-5d3e-7995-57fc348c21e3,3.05,230002
2019-08-23 01:03:06.516,68.93,UTC-0300,,107,2019-08-23 01:00:59.999,1.1488333,PEzvKidhug,2019-08-23 01:00:00.000,com.sec.android.app.shealth,2019-08-23 01:03:06.517,68e02c37-a289-e6a9-17ec-f37189e29450,4.41,230002
2019-08-23 01:03:06.522,39.55,UTC-0300,,63,2019-08-23 01:01:59.999,1.0277778,PEzvKidhug,2019-08-23 01:01:00.000,com.sec.android.app.shealth,2019-08-23 01:03:06.522,a9cfb9b7-850d-d725-04f5-1ea12b1fcd08,2.59,230002
2019-08-23 01:03:06.527,12.92,UTC-0300,,18,2019-08-23 01:03:59.999,1.081989,PEzvKidhug,2019-08-23 01:03:00.000,com.sec.android.app.shealth,2019-08-23 01:03:07.196,294edd17-e7e0-89fc-b583-08e6fb75efc7,0.77,230002
2019-08-23 01:27:03.490,47.26,UTC-0300,,75,2019-08-23 01:25:59.999,1.0833334,PEzvKidhug,2019-08-23 01:25:00.000,com.sec.android.app.shealth,2019-08-23 01:27:03.490,55fba840-b52d-e7dd-9cd2-90a7f51c3cc9,3.16,230002
2019-08-23 01:27:03.500,58.63,UTC-0300,,89,2019-08-23 01:26:59.999,1.1111112,PEzvKidhug,2019-08-23 01:26:00.000,com.sec.android.app.shealth,2019-08-23 01:27:03.500,d11cf519-a1c6-77d5-b261-692f7c4dbd9c,3.75,230002
2019-08-23 01:27:03.508,33.94,UTC-0300,,51,2019-08-23 01:27:59.999,1.1544613,PEzvKidhug,2019-08-23 01:27:00.000,com.sec.android.app.shealth,2019-08-23 01:30:34.553,c5e2e25d-1b90-d07e-0a44-cf24478f60f5,2.15,230002
2019-08-23 01:30:34.560,61.65,UTC-0300,,96,2019-08-23 01:28:59.999,1.0555556,PEzvKidhug,2019-08-23 01:28:00.000,com.sec.android.app.shealth,2019-08-23 01:30:34.560,7ad796ca-a0f7-c028-0cdf-97a2fc89d050,3.98,230002
2019-08-23 01:30:34.566,52.45,UTC-0300,,87,2019-08-23 01:29:59.999,1.0,PEzvKidhug,2019-08-23 01:29:00.000,com.sec.android.app.shealth,2019-08-23 01:30:34.566,ef525170-c285-85bd-dedd-b8f589b8db96,3.49,230002
2019-08-23 01:30:34.592,41.47,UTC-0300,,69,2019-08-23 01:30:59.999,0.9771512,PEzvKidhug,2019-08-23 01:30:00.000,com.sec.android.app.shealth,2019-08-23 01:31:24.542,8ba1b7ce-0ae5-8a67-a4a0-78b06de0bca0,2.8,230002
2019-08-23 01:39:04.534,8.42,UTC-0300,,17,2019-08-23 01:37:59.999,0.7777778,PEzvKidhug,2019-08-23 01:37:00.000,com.sec.android.app.shealth,2019-08-23 01:39:04.534,9f1021fe-3231-98e7-418e-4429378a381c,0.67,230002
2019-08-23 01:39:04.542,31.41,UTC-0300,,57,2019-08-23 01:38:59.999,0.8611111,PEzvKidhug,2019-08-23 01:38:00.000,com.sec.android.app.shealth,2019-08-23 01:39:04.542,8f46f00b-4820-bdd9-136b-55a6e067e893,2.82,230002
2019-08-23 01:39:04.981,10.01,UTC-0300,,13,2019-08-23 01:39:59.999,1.5256046,PEzvKidhug,2019-08-23 01:39:00.000,com.sec.android.app.shealth,2019-08-23 01:39:05.971,50ea1bda-a523-45b4-8a21-3ac7466b2f97,0.55,230002
2019-08-23 04:50:54.271,8.9,UTC-0300,,12,2019-08-23 04:51:00.000,1.1111112,cfxbbbfj2r,2019-08-23 04:50:00.000,com.sec.android.app.shealth,2019-08-23 04:50:54.271,da0f25f4-861a-4d2c-8e85-d2164dd8676e,0.5,
2019-08-23 06:16:10.760,5.79,UTC-0300,,8,2019-08-23 06:17:00.000,0.92342126,cfxbbbfj2r,2019-08-23 06:16:00.000,com.sec.android.app.shealth,2019-08-23 06:16:12.105,da38bbf2-c2fd-4174-abc6-058bb9b56c7a,0.33999997,
2019-08-23 06:53:26.999,4.36,UTC-0300,,6,2019-08-23 06:54:00.000,0.9444444,cfxbbbfj2r,2019-08-23 06:53:00.000,com.sec.android.app.shealth,2019-08-23 06:53:26.999,93f3aad9-df97-424c-aef6-9bf9b61fb17e,0.26,
